user-id   acc-X   acc-Y   acc-Z  ang-X  ang-Y   ang-Z  label    timestamp            count
      1    -326   -4084   13170   -471   -751   -2672  Running  2025-03-29 09:36:00      1
      1     268    3918   20522   -864   -809   -3847  Running  2025-03-29 09:36:00      2
      1    6704   16362   30568  -1548   -698   -4423  Running  2025-03-29 09:36:00      3
      1   14366   16572   30636  -1802   -614   -3591  Running  2025-03-29 09:36:00      4
      1   16386    5872   24972  -1478   -641   -2057  Running  2025-03-29 09:36:00      5
      1   12742    2962   20420   -826   -730   -1596  Running  2025-03-29 09:36:00      6
      1   10924    4980   12962    -88  -1001   -1538  Running  2025-03-29 09:36:00      7
      1   11192    5802    7224    172  -1213   -1745  Running  2025-03-29 09:36:00      8
      1   11996    5784    -424    558  -1571   -2184  Running  2025-03-29 09:36:00      9
      1   10514    6978   -2750    893  -1758   -2447  Running  2025-03-29 09:36:00     10
      1    8550   13140     532   1238  -1945   -2792  Running  2025-03-29 09:36:00     11
      1    8134   21306    5600   1331  -2037   -2677  Running  2025-03-29 09:36:00     12
      1    5936   31010   19360   1278  -2044    -915  Running  2025-03-29 09:36:00     13
      1    2312   26604   26472   1051  -1981     653  Running  2025-03-29 09:36:00     14
      1   -1454   11544   27672   1106  -1941    1746  Running  2025-03-29 09:36:00     15
      1   -1450    4660   26350   1402  -1915    1414  Running  2025-03-29 09:36:00     16
      1    -312    2234   23878   1816  -1819     407  Running  2025-03-29 09:36:00     17
      1    1416    3110   21526   1915  -1736     168  Running  2025-03-29 09:36:00     18
      1    4268    3114   18060   1741  -1649     836  Running  2025-03-29 09:36:00     19
      1    5152     764   16860   1361  -1793    2082  Running  2025-03-29 09:36:00     20
      1    4924   -4862   18178   1030  -1922    2616  Running  2025-03-29 09:36:00     21
      1    5840  -10780   18044    251  -1984    2448  Running  2025-03-29 09:36:00     22
      1    8906  -11304   15312   -420  -1890    1692  Running  2025-03-29 09:36:00     23
      1   15340  -12264   12726  -1666  -1355     121  Running  2025-03-29 09:36:00     24
      1   19010  -12204   14660  -2479   -773   -1116  Running  2025-03-29 09:36:00     25
      1   24726   -6280   21912  -3346    -97   -2804  Running  2025-03-29 09:36:00     26
      1   26832    1090   26380  -3562     58   -3282  Running  2025-03-29 09:36:00     27
      1   25446    7494   28290  -3591    -94   -3129  Running  2025-03-29 09:36:00     28
      1   22828    8578   27186  -3443   -372   -3195  Running  2025-03-29 09:36:00     29
      1   19924    8616   24380  -3005  -1054   -3838  Running  2025-03-29 09:36:00     30
      1   17116    9702   23308  -2525  -1665   -4395  Running  2025-03-29 09:36:00     31
      1   11230   12302   24402  -1703  -2609   -4972  Running  2025-03-29 09:36:00     32
      1    8080   14484   24254  -1206  -3108   -5334  Running  2025-03-29 09:36:00     33
      1    6814   20690   19352   -588  -3594   -5365  Running  2025-03-29 09:36:00     34
      1    6590   23848   14552   -329  -3747   -4711  Running  2025-03-29 09:36:00     35
      1    5504   23326    6052   -265  -3750   -3460  Running  2025-03-29 09:36:00     36
      1    3720   19508    -754   -401  -3565   -3072  Running  2025-03-29 09:36:00     37
      1    1788   12250  -11028   -585  -3006   -3407  Running  2025-03-29 09:36:00     38
      1    1894   11196  -14728   -549  -2563   -3801  Running  2025-03-29 09:36:00     39
      1    1424   13908  -15640   -521  -2035   -3489  Running  2025-03-29 09:36:00     40
      1    2058   12754  -16336   -634  -1699   -2391  Running  2025-03-29 09:36:00     41
      1    3908    7352  -17334   -501  -1550   -1962  Running  2025-03-29 09:36:00     42
      1    4878   10110  -16628    317  -1426   -1866  Running  2025-03-29 09:36:00     43
      1    5770   15954  -15122    946  -1404   -1774  Running  2025-03-29 09:36:00     44
      1    9064   20528  -14256   1699  -1360   -1351  Running  2025-03-29 09:36:00     45
      1   10222   24320  -13068   2156  -1244   -1100  Running  2025-03-29 09:36:00     46
      1   10494   32767   -9052   2696   -972    -877  Running  2025-03-29 09:36:00     47
      1   10372   32767   -5468   2883   -716    -566  Running  2025-03-29 09:36:00     48
      1    9862   32767    -652   2937   -279     314  Running  2025-03-29 09:36:00     49
      1    8636   32767    2222   2797    -54     974  Running  2025-03-29 09:36:00     50
      1    4880   32767    7226   2223     18    1850  Running  2025-03-29 09:36:01     51
      1    1120   27166   10848   1527   -133    2229  Running  2025-03-29 09:36:01     52
      1   -1030   17076   12742    275   -572    2295  Running  2025-03-29 09:36:01     53
      1   -1136    9790   12158   -539   -880    2093  Running  2025-03-29 09:36:01     54
      1    -644   -1088   11568  -1524  -1182    1177  Running  2025-03-29 09:36:01     55
      1     374   -4736   11766  -1978  -1251     109  Running  2025-03-29 09:36:01     56
      1    1658   -1378   12934  -2487  -1285   -1210  Running  2025-03-29 09:36:01     57
      1    2554    3682   15156  -2746  -1344   -1485  Running  2025-03-29 09:36:01     58
      1    4042    6810   21304  -2719  -1336   -1721  Running  2025-03-29 09:36:01     59
      1    3562   14248   26248  -2136  -1351   -2338  Running  2025-03-29 09:36:01     60
      1    -422   32767   26626  -1183  -1689   -2226  Running  2025-03-29 09:36:01     61
      1   -2806   32767   19918   -998  -2090    -800  Running  2025-03-29 09:36:01     62
      1   -2800   32767    6758   -963  -2102    -316  Running  2025-03-29 09:36:01     63
      1   -2610   28238   -4616   -899  -1793      30  Running  2025-03-29 09:36:01     64
      1   -5358   25004  -10006  -1102  -1605     467  Running  2025-03-29 09:36:01     65
      1   -6688   12860  -20444  -1685  -1416     934  Running  2025-03-29 09:36:01     66
      1   -4508    2328  -23856  -1961  -1206     598  Running  2025-03-29 09:36:01     67
      1     -54   -3358  -23616  -1769   -838    -598  Running  2025-03-29 09:36:01     68
      1    1242     112  -24370  -1457   -690   -1100  Running  2025-03-29 09:36:01     69
      1    3360    3640  -26306  -1044   -532   -1254  Running  2025-03-29 09:36:01     70
      1    4900    4450  -26764   -589   -349   -1330  Running  2025-03-29 09:36:01     71
      1    6128    9454  -25780    575    149   -1625  Running  2025-03-29 09:36:01     72
      1    5754   16562  -23832   1562    576   -1623  Running  2025-03-29 09:36:01     73
      1    2918   30270  -19648   2948   1160   -1036  Running  2025-03-29 09:36:01     74
      1     508   32767  -16444   3624   1404    -546  Running  2025-03-29 09:36:01     75
      1    -366   32767  -10050   4325   1665     126  Running  2025-03-29 09:36:01     76
      1    -230   32767   -2904   4547   1944     390  Running  2025-03-29 09:36:01     77
      1    -322   32767    9484   4302   2392     882  Running  2025-03-29 09:36:01     78
      1   -1514   32767   15550   3737   2560    1386  Running  2025-03-29 09:36:01     79
      1   -3766   32767   21712   2282   2408    2008  Running  2025-03-29 09:36:01     80
      1   -2980   26666   22046   1099   2042    2171  Running  2025-03-29 09:36:01     81
      1    -914   13136   19392   -479   1433    2267  Running  2025-03-29 09:36:01     82
      1     204    4420   16544  -1637    893    2146  Running  2025-03-29 09:36:01     83
      1    3282   -6402   11206  -2113    669    1598  Running  2025-03-29 09:36:01     84
      1    6366   -8758    8542  -2571    493     319  Running  2025-03-29 09:36:01     85
      1    6706   -6204    9848  -2817    373    -299  Running  2025-03-29 09:36:01     86
      1    4706   -1588   16060  -3164    128    -629  Running  2025-03-29 09:36:01     87
      1    2902    2644   20722  -3243   -113    -595  Running  2025-03-29 09:36:01     88
      1   -1754   17394   26540  -3025   -640    -446  Running  2025-03-29 09:36:01     89
      1   -6088   29158   27758  -3019  -1106    -337  Running  2025-03-29 09:36:01     90
      1   -6822   28502   21636  -2931  -1605    -767  Running  2025-03-29 09:36:01     91
      1   -4634   28498   15934  -2386  -1650   -1731  Running  2025-03-29 09:36:01     92
      1   -1180   32767    7790  -1526  -1389   -2501  Running  2025-03-29 09:36:01     93
      1    1454   32767    1484  -1218  -1117   -2183  Running  2025-03-29 09:36:01     94
      1    5602   28846   -5758   -841   -838    -873  Running  2025-03-29 09:36:01     95
      1    7460   23618   -8598   -556   -791      87  Running  2025-03-29 09:36:01     96
      1   10136   13466  -12050   -109   -878    1057  Running  2025-03-29 09:36:01     97
      1   13074    6076  -15266    284   -980    1132  Running  2025-03-29 09:36:01     98
      1   15880    1708  -20226   1171  -1017     718  Running  2025-03-29 09:36:01     99
      1   14920    1352  -21722   1749   -912     470  Running  2025-03-29 09:36:01    100
      1   10826    1012  -21216   2456   -557     246  Running  2025-03-29 09:36:02    101
      1    7886    1708  -19840   2848   -224     -49  Running  2025-03-29 09:36:02    102
      1    4100    9966  -17268   3375    371    -631  Running  2025-03-29 09:36:02    103
