user-id  acc-X   acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label       timestamp            count
      1   1962    3748  17280    568   -133    -78  Downstairs  2025-03-29 11:22:37      1
      1   2090    3592  17134    708   -190   -108  Downstairs  2025-03-29 11:22:37      2
      1   2160    3620  17056    783   -218   -118  Downstairs  2025-03-29 11:22:37      3
      1   2252    3690  17040    863   -258    -96  Downstairs  2025-03-29 11:22:37      4
      1   2236    3694  17098    892   -294    -58  Downstairs  2025-03-29 11:22:37      5
      1   2078    3530  16934    901   -360      3  Downstairs  2025-03-29 11:22:37      6
      1   1912    3374  16698    891   -398     33  Downstairs  2025-03-29 11:22:37      7
      1   1664    3208  16148    868   -441     76  Downstairs  2025-03-29 11:22:37      8
      1   1534    3054  15722    850   -462    114  Downstairs  2025-03-29 11:22:37      9
      1   1298    2626  15092    818   -493    178  Downstairs  2025-03-29 11:22:37     10
      1   1134    2368  14546    794   -513    212  Downstairs  2025-03-29 11:22:37     11
      1    920    2044  13484    760   -536    269  Downstairs  2025-03-29 11:22:37     12
      1    820    1818  12774    736   -549    311  Downstairs  2025-03-29 11:22:37     13
      1    484    1410  11980    679   -555    359  Downstairs  2025-03-29 11:22:37     14
      1    226    1106  11430    623   -548    378  Downstairs  2025-03-29 11:22:37     15
      1   -218     446  10634    481   -507    369  Downstairs  2025-03-29 11:22:37     16
      1   -402    -284  10398    350   -463    250  Downstairs  2025-03-29 11:22:37     17
      1   -304    -852   9804    104   -361      7  Downstairs  2025-03-29 11:22:37     18
      1   -336    -728   9824    -66   -280   -131  Downstairs  2025-03-29 11:22:37     19
      1   -240    -750  11258   -327   -182   -273  Downstairs  2025-03-29 11:22:37     20
      1   -380   -1002  13228   -588    -98   -437  Downstairs  2025-03-29 11:22:37     21
      1   -720   -1096  17206   -772    -34   -608  Downstairs  2025-03-29 11:22:37     22
      1   -966    -356  21534  -1087    120   -965  Downstairs  2025-03-29 11:22:37     23
      1   -622     604  23176  -1317    246  -1207  Downstairs  2025-03-29 11:22:37     24
      1    922    1658  23776  -1629    461  -1411  Downstairs  2025-03-29 11:22:37     25
      1   1896    2116  24756  -1769    617  -1426  Downstairs  2025-03-29 11:22:37     26
      1   2634    3452  25894  -1916    806  -1172  Downstairs  2025-03-29 11:22:37     27
      1   3068    4530  25428  -1988    868   -721  Downstairs  2025-03-29 11:22:37     28
      1   3554    4266  23500  -2048    878    152  Downstairs  2025-03-29 11:22:37     29
      1   3666    2992  21862  -2022    841    609  Downstairs  2025-03-29 11:22:37     30
      1   3488    1336  19366  -1869    769    890  Downstairs  2025-03-29 11:22:37     31
      1   3298     670  18004  -1724    720    844  Downstairs  2025-03-29 11:22:37     32
      1   3120     146  16410  -1486    638    537  Downstairs  2025-03-29 11:22:37     33
      1   3030      58  15512  -1342    581    243  Downstairs  2025-03-29 11:22:37     34
      1   2958     502  14384  -1154    510   -193  Downstairs  2025-03-29 11:22:37     35
      1   2996    1144  13872  -1030    465   -408  Downstairs  2025-03-29 11:22:37     36
      1   3284    1896  12948   -843    383   -556  Downstairs  2025-03-29 11:22:37     37
      1   3492    2096  12368   -710    327   -573  Downstairs  2025-03-29 11:22:37     38
      1   3784    2234  11762   -500    265   -560  Downstairs  2025-03-29 11:22:37     39
      1   4018    2286  11560   -359    233   -549  Downstairs  2025-03-29 11:22:37     40
      1   4290    2632  11450   -147    179   -532  Downstairs  2025-03-29 11:22:37     41
      1   4276    2934  11386     54    110   -489  Downstairs  2025-03-29 11:22:37     42
      1   3992    3164  11416    199     58   -441  Downstairs  2025-03-29 11:22:37     43
      1   3692    3040  11600    395     -5   -386  Downstairs  2025-03-29 11:22:37     44
      1   3408    3088  11932    531    -40   -386  Downstairs  2025-03-29 11:22:37     45
      1   3040    3394  12558    760   -109   -341  Downstairs  2025-03-29 11:22:37     46
      1   2688    3410  13322    923   -157   -267  Downstairs  2025-03-29 11:22:37     47
      1   1972    3712  15612   1145   -206   -161  Downstairs  2025-03-29 11:22:37     48
      1   1240    4462  18820   1249   -235    -61  Downstairs  2025-03-29 11:22:37     49
      1    202    4688  24358   1342   -377    217  Downstairs  2025-03-29 11:22:37     50
      1   -206    3296  26928   1388   -511    352  Downstairs  2025-03-29 11:22:38     51
      1   -744     846  29050   1494   -642    242  Downstairs  2025-03-29 11:22:38     52
      1   -976     148  29536   1576   -669     30  Downstairs  2025-03-29 11:22:38     53
      1   -732    1232  28368   1694   -646   -169  Downstairs  2025-03-29 11:22:38     54
      1   -318    1978  26760   1721   -633    -65  Downstairs  2025-03-29 11:22:38     55
      1    226     472  23840   1719   -645    178  Downstairs  2025-03-29 11:22:38     56
      1    656     190  21588   1715   -674    156  Downstairs  2025-03-29 11:22:38     57
      1    604     800  18528   1717   -676     24  Downstairs  2025-03-29 11:22:38     58
      1    508    1242  16850   1714   -650    -71  Downstairs  2025-03-29 11:22:38     59
      1    362    2008  15142   1677   -601   -150  Downstairs  2025-03-29 11:22:38     60
      1    298    2394  14262   1617   -585   -130  Downstairs  2025-03-29 11:22:38     61
      1    188    2638  13112   1482   -571    -55  Downstairs  2025-03-29 11:22:38     62
      1    122    2774  12474   1311   -537     18  Downstairs  2025-03-29 11:22:38     63
      1    102    2836  12036   1187   -509     58  Downstairs  2025-03-29 11:22:38     64
      1    100    2836  12278    976   -464     95  Downstairs  2025-03-29 11:22:38     65
      1    132    2902  12362    814   -432    109  Downstairs  2025-03-29 11:22:38     66
      1    338    2938  12394    567   -381    158  Downstairs  2025-03-29 11:22:38     67
      1    578    2684  12286    423   -358    224  Downstairs  2025-03-29 11:22:38     68
      1    970    1952  11498    274   -349    342  Downstairs  2025-03-29 11:22:38     69
      1   1174    1378  10732    215   -344    405  Downstairs  2025-03-29 11:22:38     70
      1   1382     616   9694    167   -314    440  Downstairs  2025-03-29 11:22:38     71
      1   1392     236   9464    129   -270    407  Downstairs  2025-03-29 11:22:38     72
      1   1380      88  10442     65   -191    298  Downstairs  2025-03-29 11:22:38     73
      1   1224     152  11744    -11   -146    224  Downstairs  2025-03-29 11:22:38     74
      1   1038     266  13778   -223    -88     72  Downstairs  2025-03-29 11:22:38     75
      1    764     516  15426   -441    -19    -98  Downstairs  2025-03-29 11:22:38     76
      1   -134    1554  19064   -873    150   -422  Downstairs  2025-03-29 11:22:38     77
