user-id  acc-X  acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label     timestamp            count
     10   1718   6920  16034    511    105    674  Upstairs  2025-03-30 11:33:36      1
     10   1370   6934  16424    585     58    695  Upstairs  2025-03-30 11:33:36      2
     10    962   6642  16762    679    -12    705  Upstairs  2025-03-30 11:33:36      3
     10    912   6140  16682    742    -66    680  Upstairs  2025-03-30 11:33:36      4
     10   1030   5368  16158    849   -138    517  Upstairs  2025-03-30 11:33:36      5
     10   1048   5252  15832    919   -159    319  Upstairs  2025-03-30 11:33:36      6
     10   1028   5788  15238   1001   -149     38  Upstairs  2025-03-30 11:33:36      7
     10   1040   6350  14918   1027   -140    -71  Upstairs  2025-03-30 11:33:36      8
     10   1234   6962  14574   1030   -170    -98  Upstairs  2025-03-30 11:33:36      9
     10   1630   6986  14420    974   -222   -116  Upstairs  2025-03-30 11:33:36     10
     10   1464   7312  13884    986   -237   -117  Upstairs  2025-03-30 11:33:36     11
     10   1416   7532  14268    874   -253    -30  Upstairs  2025-03-30 11:33:36     12
     10   1542   7380  14482    780   -260     30  Upstairs  2025-03-30 11:33:36     13
     10   1666   7088  14918    621   -253     76  Upstairs  2025-03-30 11:33:36     14
     10   1698   6866  15300    507   -245    106  Upstairs  2025-03-30 11:33:36     15
     10   1632   6518  16114    313   -226    158  Upstairs  2025-03-30 11:33:36     16
     10   1504   6286  16676    153   -206    206  Upstairs  2025-03-30 11:33:36     17
     10   1126   5716  17724   -154   -164    345  Upstairs  2025-03-30 11:33:36     18
     10    806   4914  18414   -398   -129    483  Upstairs  2025-03-30 11:33:36     19
     10     78   3006  20042   -787    -59    652  Upstairs  2025-03-30 11:33:36     20
     10   -524   1532  21368  -1066     15    664  Upstairs  2025-03-30 11:33:36     21
     10  -1228   -148  22520  -1538    190    484  Upstairs  2025-03-30 11:33:36     22
     10  -1502   -484  22896  -1873    331    265  Upstairs  2025-03-30 11:33:36     23
     10  -1930    -46  23800  -2341    514    -50  Upstairs  2025-03-30 11:33:36     24
     10  -2034    182  23618  -2605    575   -160  Upstairs  2025-03-30 11:33:36     25
     10  -1688   -264  21518  -2838    602   -173  Upstairs  2025-03-30 11:33:36     26
     10  -1462   -990  20212  -2855    617   -126  Upstairs  2025-03-30 11:33:36     27
     10  -1146  -2452  19122  -2717    642    -54  Upstairs  2025-03-30 11:33:36     28
     10   -784  -2938  18824  -2518    658    -55  Upstairs  2025-03-30 11:33:36     29
     10    -90  -3348  18458  -2253    712   -277  Upstairs  2025-03-30 11:33:36     30
     10    182  -3110  18470  -1957    757   -677  Upstairs  2025-03-30 11:33:36     31
