user-id   acc-X   acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label    timestamp            count
     11   11596   22274  27144  -2337   -524  -1803  Jogging  2025-03-30 15:33:06      1
     11   14110   24220  26754  -2742   -365  -2240  Jogging  2025-03-30 15:33:06      2
     11   14110   24652  24848  -3239   -390  -2518  Jogging  2025-03-30 15:33:06      3
     11   12902   24146  21642  -3552   -511  -2474  Jogging  2025-03-30 15:33:06      4
     11   10686   20962  15462  -4030   -693  -2229  Jogging  2025-03-30 15:33:06      5
     11    9282   17444  11190  -4306   -766  -2179  Jogging  2025-03-30 15:33:06      6
     11    7190   12664   6216  -4521   -848  -2464  Jogging  2025-03-30 15:33:06      7
     11    5626   11060   4162  -4549   -965  -2744  Jogging  2025-03-30 15:33:06      8
     11    3668   11120   1440  -4526  -1324  -2872  Jogging  2025-03-30 15:33:06      9
     11    2970   11252   -228  -4496  -1631  -2693  Jogging  2025-03-30 15:33:06     10
     11    2836   10100  -1680  -4302  -2069  -2329  Jogging  2025-03-30 15:33:06     11
     11    2874    9268  -2088  -4002  -2300  -2164  Jogging  2025-03-30 15:33:06     12
     11    3250    8736  -2110  -3359  -2473  -1942  Jogging  2025-03-30 15:33:06     13
     11    4352    9678  -1658  -2809  -2511  -1786  Jogging  2025-03-30 15:33:06     14
     11    6520   10536  -1328  -1914  -2520  -1386  Jogging  2025-03-30 15:33:06     15
     11    8538   11362   -726  -1296  -2453  -1177  Jogging  2025-03-30 15:33:06     16
     11   12348   17520   3596   -309  -2215  -1064  Jogging  2025-03-30 15:33:06     17
     11   15042   22068   9206    535  -1958   -689  Jogging  2025-03-30 15:33:06     18
     11   19628   22844  16468   1076  -1784   -448  Jogging  2025-03-30 15:33:06     19
     11   21750   21148  16624   1931  -1418   -433  Jogging  2025-03-30 15:33:06     20
     11   20972   19942  15778   2418  -1070   -391  Jogging  2025-03-30 15:33:06     21
     11   20612   18880  14512   3032   -621   -414  Jogging  2025-03-30 15:33:06     22
     11   20024   17384  13736   3312   -445   -270  Jogging  2025-03-30 15:33:06     23
     11   17426   13560  10398   3593   -183     48  Jogging  2025-03-30 15:33:06     24
     11   14746   10494   8212   3709     43    305  Jogging  2025-03-30 15:33:06     25
     11   10924    6808   6674   3718    315    605  Jogging  2025-03-30 15:33:06     26
     11    8702    5474   6226   3602    388    732  Jogging  2025-03-30 15:33:06     27
     11    6204    3548   5248   3274    365    867  Jogging  2025-03-30 15:33:06     28
     11    4638    2152   4596   2970    350    879  Jogging  2025-03-30 15:33:06     29
     11    2142     194   4784   2434    390    721  Jogging  2025-03-30 15:33:06     30
     11    1248    -216   5954   2088    393    508  Jogging  2025-03-30 15:33:06     31
     11     902     922   8810   1494    289    190  Jogging  2025-03-30 15:33:06     32
     11    1458    1708  10810   1006    164     26  Jogging  2025-03-30 15:33:06     33
     11    2934    2600  14294    263    -30   -103  Jogging  2025-03-30 15:33:06     34
     11    4864    4354  17110   -466   -169   -313  Jogging  2025-03-30 15:33:06     35
     11    9030   10794  21658  -1061   -184   -577  Jogging  2025-03-30 15:33:06     36
     11   14738   16046  23406  -1973      9   -979  Jogging  2025-03-30 15:33:06     37
     11   17898   18430  23468  -2444    275  -1406  Jogging  2025-03-30 15:33:06     38
     11   20414   22700  22292  -3039    651  -1930  Jogging  2025-03-30 15:33:06     39
     11   20430   24274  20662  -3322    831  -2004  Jogging  2025-03-30 15:33:06     40
     11   18478   24106  16804  -3473    973  -1674  Jogging  2025-03-30 15:33:06     41
     11   17058   22424  13072  -3488    983  -1331  Jogging  2025-03-30 15:33:06     42
     11   14916   18280   6876  -3482    997  -1106  Jogging  2025-03-30 15:33:06     43
     11   13250   15690   2976  -3453   1050  -1222  Jogging  2025-03-30 15:33:06     44
     11   10676   12566  -1302  -3299   1131  -1484  Jogging  2025-03-30 15:33:06     45
     11    9396   10996  -2696  -3059   1105  -1486  Jogging  2025-03-30 15:33:06     46
     11    8200    8626  -4288  -2548    910  -1211  Jogging  2025-03-30 15:33:06     47
     11    7566    6540  -5326  -2117    747  -1006  Jogging  2025-03-30 15:33:06     48
     11    6970    4442  -6022  -1293    540   -922  Jogging  2025-03-30 15:33:06     49
     11    6868    4498  -6038   -688    406   -910  Jogging  2025-03-30 15:33:06     50
     11    7540    5290  -5340    198    174   -723  Jogging  2025-03-30 15:33:07     51
     11    8400    6518  -3914   1089    -75   -359  Jogging  2025-03-30 15:33:07     52
     11   10494    9674  -1500   1642   -234    -64  Jogging  2025-03-30 15:33:07     53
     11   13410   15596   2130   2294   -359    187  Jogging  2025-03-30 15:33:07     54
     11   15322   20858   6588   2577   -383    244  Jogging  2025-03-30 15:33:07     55
     11   16654   26808  11584   2833   -352    440  Jogging  2025-03-30 15:33:07     56
     11   16680   28802  12752   2967   -275    694  Jogging  2025-03-30 15:33:07     57
     11   16574   30848  13782   3080   -157   1097  Jogging  2025-03-30 15:33:07     58
     11   15600   29792  14484   2991   -130   1251  Jogging  2025-03-30 15:33:07     59
     11   12860   25964  13962   2677   -165   1153  Jogging  2025-03-30 15:33:07     60
     11   10470   22986  13094   2404   -147   1079  Jogging  2025-03-30 15:33:07     61
     11    7348   18202  11944   1982    -44   1046  Jogging  2025-03-30 15:33:07     62
     11    5758   14800  11260   1747      9   1030  Jogging  2025-03-30 15:33:07     63
     11    3644    9828  11026   1427    -19   1047  Jogging  2025-03-30 15:33:07     64
     11    2368    6848  10706   1201   -119   1061  Jogging  2025-03-30 15:33:07     65
     11     438    3396  10242    862   -341   1178  Jogging  2025-03-30 15:33:07     66
     11    -814    1250   9706    662   -455   1278  Jogging  2025-03-30 15:33:07     67
     11   -2204   -1062   9406    436   -470   1230  Jogging  2025-03-30 15:33:07     68
     11   -2732   -1872  10956    265   -351    895  Jogging  2025-03-30 15:33:07     69
     11   -2258    -442  13678    162   -268    538  Jogging  2025-03-30 15:33:07     70
     11   -1160    6944  21538   -120   -206      4  Jogging  2025-03-30 15:33:07     71
     11     158   13176  26700   -602   -203   -203  Jogging  2025-03-30 15:33:07     72
     11    4496   19148  29610  -1507    -13   -470  Jogging  2025-03-30 15:33:07     73
     11    7850   21264  29882  -2036    234   -891  Jogging  2025-03-30 15:33:07     74
