user-id  acc-X  acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label       timestamp            count
     11  -1912  -2154  15440   -259   -228   -101  Downstairs  2025-03-30 14:51:49      1
     11  -2124  -2130  16440   -242   -221    -69  Downstairs  2025-03-30 14:51:49      2
     11  -2170  -2300  16810   -223   -214    -64  Downstairs  2025-03-30 14:51:49      3
     11  -1896  -2456  16640   -185   -194    -59  Downstairs  2025-03-30 14:51:49      4
     11  -1570  -2522  16220   -159   -175    -40  Downstairs  2025-03-30 14:51:49      5
     11  -1126  -2388  15562   -136   -139     -9  Downstairs  2025-03-30 14:51:49      6
     11   -896  -2116  15044   -135   -117     24  Downstairs  2025-03-30 14:51:49      7
     11   -704  -1690  14496   -169    -85    100  Downstairs  2025-03-30 14:51:49      8
     11   -732  -1600  14500   -227    -62    179  Downstairs  2025-03-30 14:51:49      9
     11   -968  -1784  14912   -259    -53    205  Downstairs  2025-03-30 14:51:49     10
     11  -1284  -2270  15786   -276    -47    176  Downstairs  2025-03-30 14:51:49     11
     11  -1440  -2696  16404   -259    -51    109  Downstairs  2025-03-30 14:51:49     12
     11  -1480  -3458  16954   -177    -67    -38  Downstairs  2025-03-30 14:51:49     13
     11  -1340  -3788  16858    -86    -80   -150  Downstairs  2025-03-30 14:51:49     14
     11   -942  -3734  16332     59    -99   -285  Downstairs  2025-03-30 14:51:49     15
     11   -676  -3348  15906    139   -112   -329  Downstairs  2025-03-30 14:51:49     16
     11   -346  -2530  15276    214   -127   -317  Downstairs  2025-03-30 14:51:49     17
     11   -178  -2074  14966    227   -132   -273  Downstairs  2025-03-30 14:51:49     18
     11     12  -1720  14748    213   -136   -198  Downstairs  2025-03-30 14:51:49     19
     11    180  -1668  14638    204   -140   -161  Downstairs  2025-03-30 14:51:49     20
     11    490  -1634  14256    219   -149   -128  Downstairs  2025-03-30 14:51:49     21
     11    716  -1502  14000    249   -155   -110  Downstairs  2025-03-30 14:51:49     22
     11   1048  -1124  13708    305   -166    -74  Downstairs  2025-03-30 14:51:49     23
     11   1252   -754  13604    343   -176    -48  Downstairs  2025-03-30 14:51:49     24
     11   1504   -168  13520    389   -191     -5  Downstairs  2025-03-30 14:51:49     25
     11   1616    136  13450    410   -199     23  Downstairs  2025-03-30 14:51:49     26
     11   1746    464  13130    420   -208     53  Downstairs  2025-03-30 14:51:49     27
     11   1772    624  13028    419   -212     59  Downstairs  2025-03-30 14:51:49     28
     11   1728    918  13000    415   -212     49  Downstairs  2025-03-30 14:51:49     29
     11   1610   1196  13086    389   -206     20  Downstairs  2025-03-30 14:51:49     30
     11   1504   1276  13258    367   -203     -7  Downstairs  2025-03-30 14:51:49     31
     11   1204   1078  13642    351   -212    -62  Downstairs  2025-03-30 14:51:49     32
     11   1004    856  14022    353   -222   -123  Downstairs  2025-03-30 14:51:49     33
     11    792    602  14996    366   -235   -236  Downstairs  2025-03-30 14:51:49     34
     11    532    532  16182    375   -238   -314  Downstairs  2025-03-30 14:51:49     35
     11    -52    366  18324    385   -246   -421  Downstairs  2025-03-30 14:51:49     36
     11   -440    338  19574    395   -257   -461  Downstairs  2025-03-30 14:51:49     37
     11  -1122    390  21196    405   -277   -446  Downstairs  2025-03-30 14:51:49     38
     11  -1470    386  21852    409   -299   -400  Downstairs  2025-03-30 14:51:49     39
     11  -1720    556  21758    417   -318   -264  Downstairs  2025-03-30 14:51:49     40
     11  -1598    500  21494    428   -307   -137  Downstairs  2025-03-30 14:51:49     41
     11  -1436    634  22006    426   -231    -18  Downstairs  2025-03-30 14:51:49     42
     11  -1494    636  22852    401   -170    -14  Downstairs  2025-03-30 14:51:49     43
     11  -1618    446  22374    355   -132    -64  Downstairs  2025-03-30 14:51:49     44
     11  -1520    414  20756    338   -127    -82  Downstairs  2025-03-30 14:51:49     45
     11   -938    746  17528    341   -101    -28  Downstairs  2025-03-30 14:51:49     46
     11   -438   1076  15538    341    -32     95  Downstairs  2025-03-30 14:51:49     47
     11    158   1844  13678    315     23    190  Downstairs  2025-03-30 14:51:49     48
     11    362   2286  13014    213     86    342  Downstairs  2025-03-30 14:51:49     49
     11    228   2216  12968    119    113    415  Downstairs  2025-03-30 14:51:49     50
     11   -266   1656  13272    -22    139    443  Downstairs  2025-03-30 14:51:50     51
     11   -584   1246  13480    -91    143    384  Downstairs  2025-03-30 14:51:50     52
     11   -786   1098  13584   -165    124    237  Downstairs  2025-03-30 14:51:50     53
     11   -768   1058  13578   -216     99    145  Downstairs  2025-03-30 14:51:50     54
     11   -800   1116  13828   -295     66      1  Downstairs  2025-03-30 14:51:50     55
     11   -808   1148  14026   -347     50    -85  Downstairs  2025-03-30 14:51:50     56
     11   -590    886  13912   -429     28   -203  Downstairs  2025-03-30 14:51:50     57
     11   -354    784  13750   -482     20   -287  Downstairs  2025-03-30 14:51:50     58
     11    -36    740  13706   -581     23   -412  Downstairs  2025-03-30 14:51:50     59
     11    128    718  13766   -655     26   -487  Downstairs  2025-03-30 14:51:50     60
     11    344    694  13818   -765     34   -600  Downstairs  2025-03-30 14:51:50     61
     11    452    720  14072   -842     43   -678  Downstairs  2025-03-30 14:51:50     62
     11    330   1070  14654   -966     56   -693  Downstairs  2025-03-30 14:51:50     63
     11     88   1142  14898  -1061     54   -561  Downstairs  2025-03-30 14:51:50     64
     11   -446     48  15936  -1189     23   -238  Downstairs  2025-03-30 14:51:50     65
     11   -828  -1300  17758  -1256      1   -109  Downstairs  2025-03-30 14:51:50     66
     11  -1252  -3466  20950  -1287     -5   -235  Downstairs  2025-03-30 14:51:50     67
     11   -838  -4426  22132  -1171     44   -604  Downstairs  2025-03-30 14:51:50     68
     11   -452  -3902  23210  -1074    109   -763  Downstairs  2025-03-30 14:51:50     69
