user-id  acc-X   acc-Y   acc-Z  ang-X  ang-Y  ang-Z  label      timestamp            count
     11   6892   14438    3934  -6687   3343   -776  Squatting  2025-03-30 16:02:52      1
     11   7078   12466    4742  -6755   3301   -329  Squatting  2025-03-30 16:02:52      2
     11   6062   11600    6092  -6692   3538   -298  Squatting  2025-03-30 16:02:52      3
     11   4110   10456    9186  -6660   3637   -210  Squatting  2025-03-30 16:02:52      4
     11   3152    8686   10084  -6678   3555      2  Squatting  2025-03-30 16:02:52      5
     11   2232    7318    9998  -6677   3505    177  Squatting  2025-03-30 16:02:52      6
     11    460    5726   11052  -6564   3522    577  Squatting  2025-03-30 16:02:52      7
     11   -680    4692   12176  -6423   3494    934  Squatting  2025-03-30 16:02:52      8
     11  -2080    1850   13438  -6101   3288   1551  Squatting  2025-03-30 16:02:52      9
     11  -2720    -732   14112  -5789   3049   1911  Squatting  2025-03-30 16:02:52     10
     11  -2790   -5038   14696  -5136   2638   2129  Squatting  2025-03-30 16:02:52     11
     11  -2230   -7680   14494  -4581   2414   1942  Squatting  2025-03-30 16:02:52     12
     11   -704  -10518   13844  -3667   2232   1101  Squatting  2025-03-30 16:02:52     13
     11    298  -10572   13996  -3082   2181    338  Squatting  2025-03-30 16:02:52     14
     11   1288   -8528   15470  -2387   2076   -641  Squatting  2025-03-30 16:02:52     15
     11   1134   -6848   16792  -2041   1950  -1039  Squatting  2025-03-30 16:02:52     16
     11    246   -4454   18136  -1632   1688  -1228  Squatting  2025-03-30 16:02:52     17
     11   -196   -3440   18542  -1430   1498  -1163  Squatting  2025-03-30 16:02:52     18
     11    -50   -2960   18494  -1209   1237   -999  Squatting  2025-03-30 16:02:52     19
     11    416   -2814   17994  -1084   1088   -960  Squatting  2025-03-30 16:02:52     20
     11   1210   -2198   16624   -910    886   -984  Squatting  2025-03-30 16:02:52     21
     11   1522   -1616   15550   -722    675   -877  Squatting  2025-03-30 16:02:52     22
     11   1688   -1398   14856   -579    513   -680  Squatting  2025-03-30 16:02:52     23
     11   1712   -1834   14676   -295    253   -356  Squatting  2025-03-30 16:02:52     24
     11   1686   -3116   15596    -39     62   -271  Squatting  2025-03-30 16:02:52     25
     11   3236   -4406   15988    458   -270   -416  Squatting  2025-03-30 16:02:52     26
     11   3524   -3702   16042    885   -431   -561  Squatting  2025-03-30 16:02:52     27
     11   2874   -3818   16538   1572   -684   -614  Squatting  2025-03-30 16:02:52     28
     11   2294   -4024   16946   2017   -868   -658  Squatting  2025-03-30 16:02:52     29
     11   1370   -2106   17784   2690  -1126   -705  Squatting  2025-03-30 16:02:52     30
     11   1042    -880   18618   3081  -1315   -568  Squatting  2025-03-30 16:02:52     31
     11   1112      36   19834   3515  -1578   -266  Squatting  2025-03-30 16:02:52     32
     11   1410      64   20582   3706  -1738    -93  Squatting  2025-03-30 16:02:52     33
     11   2060     134   20736   3904  -1907     46  Squatting  2025-03-30 16:02:52     34
     11   2406     700   20218   4000  -1962     98  Squatting  2025-03-30 16:02:52     35
     11   2664    1886   19574   4096  -2033    240  Squatting  2025-03-30 16:02:52     36
     11   2640    2464   19532   4140  -2084    400  Squatting  2025-03-30 16:02:52     37
     11   2910    2800   19360   4177  -2169    662  Squatting  2025-03-30 16:02:52     38
     11   3228    2858   18860   4196  -2233    774  Squatting  2025-03-30 16:02:52     39
     11   3548    3084   17560   4276  -2313    821  Squatting  2025-03-30 16:02:52     40
     11   3770    4080   16838   4425  -2362    779  Squatting  2025-03-30 16:02:52     41
     11   4170    5816   15484   4509  -2396    792  Squatting  2025-03-30 16:02:52     42
     11   4198    7150   14124   4602  -2446    882  Squatting  2025-03-30 16:02:52     43
     11   4216    7582   13226   4636  -2494    956  Squatting  2025-03-30 16:02:52     44
     11   4688    7670   11128   4694  -2530   1000  Squatting  2025-03-30 16:02:52     45
     11   5120    7696    9662   4731  -2509   1009  Squatting  2025-03-30 16:02:52     46
     11   5628    8744    7360   4742  -2472   1008  Squatting  2025-03-30 16:02:52     47
     11   5564    9434    6154   4719  -2460   1073  Squatting  2025-03-30 16:02:52     48
     11   5430    8962    4518   4642  -2493   1233  Squatting  2025-03-30 16:02:52     49
     11   5398    8702    3456   4624  -2496   1257  Squatting  2025-03-30 16:02:52     50
     11   5534    8242    2702   4573  -2447   1186  Squatting  2025-03-30 16:02:53     51
     11   5834    8888    2328   4547  -2427   1175  Squatting  2025-03-30 16:02:53     52
     11   5974    9512    1286   4522  -2484   1461  Squatting  2025-03-30 16:02:53     53
     11   5682    8862     482   4454  -2529   1694  Squatting  2025-03-30 16:02:53     54
     11   5356    8556     280   4378  -2504   1743  Squatting  2025-03-30 16:02:53     55
     11   5442    8318     -36   4340  -2420   1655  Squatting  2025-03-30 16:02:53     56
     11   6064    6374   -1012   4245  -2295   1438  Squatting  2025-03-30 16:02:53     57
     11   6424    5734   -1722   4183  -2200   1204  Squatting  2025-03-30 16:02:53     58
     11   7106    5972   -3192   4034  -2010    943  Squatting  2025-03-30 16:02:53     59
     11   8062    5206   -4590   3743  -1785    967  Squatting  2025-03-30 16:02:53     60
     11   9956    2090   -7550   3476  -1603   1005  Squatting  2025-03-30 16:02:53     61
     11  11802   -1070  -11484   2989  -1260    911  Squatting  2025-03-30 16:02:53     62
     11  13014   -2916  -14238   2612   -962    770  Squatting  2025-03-30 16:02:53     63
     11  14602   -5680  -17586   1949   -432    517  Squatting  2025-03-30 16:02:53     64
     11  15418   -6992  -19294   1425    -97    323  Squatting  2025-03-30 16:02:53     65
     11  16486   -7428  -21058    538    358    -34  Squatting  2025-03-30 16:02:53     66
     11  17106   -6800  -21352    -99    617   -274  Squatting  2025-03-30 16:02:53     67
     11  17164   -5026  -21002  -1073    956   -602  Squatting  2025-03-30 16:02:53     68
     11  16788   -3260  -19866  -1726   1148   -905  Squatting  2025-03-30 16:02:53     69
     11  16934    -702  -18370  -2657   1421  -1595  Squatting  2025-03-30 16:02:53     70
     11  17720    1464  -17416  -3180   1656  -2137  Squatting  2025-03-30 16:02:53     71
     11  17904    5604  -15670  -3874   2037  -2680  Squatting  2025-03-30 16:02:53     72
     11  17168    8354  -13714  -4303   2250  -2810  Squatting  2025-03-30 16:02:53     73
     11  16520   11686  -10804  -4922   2529  -2749  Squatting  2025-03-30 16:02:53     74
     11  16226   13070   -8798  -5258   2725  -2631  Squatting  2025-03-30 16:02:53     75
     11  14826   14654   -4380  -5591   3019  -2702  Squatting  2025-03-30 16:02:53     76
     11  13830   15822   -1538  -5770   3151  -2737  Squatting  2025-03-30 16:02:53     77
     11  11820   16638    1232  -6054   3275  -2518  Squatting  2025-03-30 16:02:53     78
     11  10334   16510    4208  -6210   3415  -2125  Squatting  2025-03-30 16:02:53     79
     11   9142   15802    8884  -6273   3436  -1963  Squatting  2025-03-30 16:02:53     80
     11   7618   13796   10006  -6529   3285  -1845  Squatting  2025-03-30 16:02:53     81
     11   5746   11326   10832  -6711   3287  -1886  Squatting  2025-03-30 16:02:53     82
     11   2914   11074   15826  -6760   3411  -1855  Squatting  2025-03-30 16:02:53     83
     11   3102   12090   18202  -6817   3307  -1543  Squatting  2025-03-30 16:02:53     84
     11   4120    8194   18736  -7090   3021   -985  Squatting  2025-03-30 16:02:53     85
     11   3058    4970   18790  -7172   3015   -850  Squatting  2025-03-30 16:02:53     86
     11    292    3414   21072  -7040   3123   -691  Squatting  2025-03-30 16:02:53     87
     11   -684    1814   22256  -6879   3062   -475  Squatting  2025-03-30 16:02:53     88
     11   -996   -3288   22804  -6462   2834   -203  Squatting  2025-03-30 16:02:53     89
     11   -882   -5866   22460  -6021   2686   -240  Squatting  2025-03-30 16:02:53     90
     11   -480   -7444   20904  -5241   2506   -478  Squatting  2025-03-30 16:02:53     91
     11   -162   -7254   19320  -4684   2407   -632  Squatting  2025-03-30 16:02:53     92
     11    338   -5638   16560  -3970   2218   -662  Squatting  2025-03-30 16:02:53     93
     11    526   -5238   14782  -3633   2074   -559  Squatting  2025-03-30 16:02:53     94
     11    628   -5396   12636  -3259   1869   -455  Squatting  2025-03-30 16:02:53     95
     11    454   -5048   11706  -3079   1750   -436  Squatting  2025-03-30 16:02:53     96
     11    210   -5254   11140  -2883   1569   -376  Squatting  2025-03-30 16:02:53     97
     11    126   -5746   11376  -2685   1419   -364  Squatting  2025-03-30 16:02:53     98
     11   -126   -5726   11926  -2563   1318   -336  Squatting  2025-03-30 16:02:53     99
     11   -296   -6446   12392  -2370   1167   -288  Squatting  2025-03-30 16:02:53    100
     11   -336   -6702   12674  -2205   1087   -329  Squatting  2025-03-30 16:02:54    101
     11   -242   -5874   12344  -1946    960   -384  Squatting  2025-03-30 16:02:54    102
     11    -74   -5466   11810  -1768    844   -329  Squatting  2025-03-30 16:02:54    103
     11    194   -5630   10526  -1422    642   -195  Squatting  2025-03-30 16:02:54    104
     11    464   -6028    9184  -1141    508   -143  Squatting  2025-03-30 16:02:54    105
     11    698   -6258    7664   -677    342   -268  Squatting  2025-03-30 16:02:54    106
     11    414   -5402    7616   -347    236   -404  Squatting  2025-03-30 16:02:54    107
     11   -108   -4204    8136    153     28   -425  Squatting  2025-03-30 16:02:54    108
     11   -206   -4400    8478    483   -123   -352  Squatting  2025-03-30 16:02:54    109
     11   -222   -5122    9084   1016   -322   -317  Squatting  2025-03-30 16:02:54    110
     11   -240   -5348    9556   1397   -435   -350  Squatting  2025-03-30 16:02:54    111
     11   -456   -5278   11276   1963   -618   -388  Squatting  2025-03-30 16:02:54    112
     11     -2   -6210   12280   2247   -775   -355  Squatting  2025-03-30 16:02:54    113
     11    376   -7234   13304   2731   -961   -337  Squatting  2025-03-30 16:02:54    114
     11    332   -7980   14286   3094  -1072   -351  Squatting  2025-03-30 16:02:54    115
     11    -74   -9444   16492   3629  -1211   -530  Squatting  2025-03-30 16:02:54    116
     11   -572   -9462   18024   4266  -1302   -700  Squatting  2025-03-30 16:02:54    117
     11  -1090   -8196   20014   4709  -1369   -625  Squatting  2025-03-30 16:02:54    118
     11   -938   -7038   22474   5269  -1509   -365  Squatting  2025-03-30 16:02:54    119
     11   -420   -5798   23836   5533  -1608   -214  Squatting  2025-03-30 16:02:54    120
     11    776   -3128   23972   5767  -1713     -1  Squatting  2025-03-30 16:02:54    121
     11   1402   -1788   23130   5826  -1748    132  Squatting  2025-03-30 16:02:54    122
     11   1736     344   23126   5832  -1787    307  Squatting  2025-03-30 16:02:54    123
     11   1900    1600   23746   5753  -1824    457  Squatting  2025-03-30 16:02:54    124
     11   3010    2752   22698   5587  -1909    640  Squatting  2025-03-30 16:02:54    125
     11   3710    3280   20800   5524  -1960    641  Squatting  2025-03-30 16:02:54    126
     11   4044    4572   18098   5487  -1970    499  Squatting  2025-03-30 16:02:54    127
     11   4012    6174   16860   5448  -1927    414  Squatting  2025-03-30 16:02:54    128
     11   4590    8438   14616   5342  -1888    392  Squatting  2025-03-30 16:02:54    129
     11   5088    9486   12798   5278  -1873    440  Squatting  2025-03-30 16:02:54    130
     11   5380   11230   10358   5226  -1790    615  Squatting  2025-03-30 16:02:54    131
     11   5460   11968    9238   5186  -1740    850  Squatting  2025-03-30 16:02:54    132
     11   5816   12202    7364   5066  -1702   1232  Squatting  2025-03-30 16:02:54    133
     11   6114   12066    5886   4956  -1699   1424  Squatting  2025-03-30 16:02:54    134
     11   6254   11548    4020   4780  -1685   1562  Squatting  2025-03-30 16:02:54    135
     11   5980   11474    3334   4659  -1637   1577  Squatting  2025-03-30 16:02:54    136
