user-id   acc-X   acc-Y   acc-Z   ang-X  ang-Y  ang-Z  label    timestamp            count
     12   -1328  -32768   32767    4596   1421  -1681  Running  2025-03-30 14:12:25      1
     12     144  -32768   30200    3426   1724  -2501  Running  2025-03-30 14:12:25      2
     12    2742  -32768   21304    2696   1886  -2486  Running  2025-03-30 14:12:25      3
     12    5282  -32768    9470    2220   2150  -1523  Running  2025-03-30 14:12:25      4
     12    5466  -32768    3440    2090   2297   -804  Running  2025-03-30 14:12:25      5
     12    3616  -22958   -5784    1858   2377   -479  Running  2025-03-30 14:12:25      6
     12    1822  -15952  -11380    1595   2296   -867  Running  2025-03-30 14:12:25      7
     12     544  -11660  -14796     843   2052  -1562  Running  2025-03-30 14:12:25      8
     12     226  -10756  -15682     301   1919  -1550  Running  2025-03-30 14:12:25      9
     12    -818   -9808  -17578    -414   1696   -757  Running  2025-03-30 14:12:25     10
     12   -1864   -7504  -17846    -637   1498    -74  Running  2025-03-30 14:12:25     11
     12   -4002    -844  -15938    -795   1218    441  Running  2025-03-30 14:12:25     12
     12   -5266    3018  -14718   -1067   1087    279  Running  2025-03-30 14:12:25     13
     12   -5962    2422  -14876   -1642    932   -399  Running  2025-03-30 14:12:25     14
     12   -5764    -612  -15898   -1894    735   -770  Running  2025-03-30 14:12:25     15
     12   -5638   -4730  -16582   -1959    233   -888  Running  2025-03-30 14:12:25     16
     12   -6158   -6368  -15596   -1903   -200   -938  Running  2025-03-30 14:12:25     17
     12   -6272  -10576  -13436   -1955   -933  -1333  Running  2025-03-30 14:12:25     18
     12   -5624  -20612  -12832   -2014  -1512  -1743  Running  2025-03-30 14:12:25     19
     12    -206  -32768   -3444   -2087  -2457  -1683  Running  2025-03-30 14:12:25     20
     12    6474  -32768   11926   -2056  -2989   -473  Running  2025-03-30 14:12:25     21
     12    9592  -32768   26940   -1790  -3231   1487  Running  2025-03-30 14:12:25     22
     12    7906  -32768   29214   -2012  -3195   2093  Running  2025-03-30 14:12:25     23
     12    7082  -32768   27572   -2200  -2993   1821  Running  2025-03-30 14:12:25     24
     12    7708  -32768   24530   -1976  -2781   1527  Running  2025-03-30 14:12:25     25
     12    8868  -24856   19578   -1482  -2434   1488  Running  2025-03-30 14:12:25     26
     12    9924  -17462   16572   -1188  -2158   1604  Running  2025-03-30 14:12:25     27
     12   11708   -7896   12966    -684  -1594   1591  Running  2025-03-30 14:12:25     28
     12   12354   -2704   11134    -329  -1230   1371  Running  2025-03-30 14:12:25     29
     12   13092    2540    9618      98   -759   1100  Running  2025-03-30 14:12:25     30
     12   13122    5404    8886     318   -402    985  Running  2025-03-30 14:12:25     31
     12   12894    8166    7440     600    191    527  Running  2025-03-30 14:12:25     32
     12   12126    8058    5786     831    576     13  Running  2025-03-30 14:12:25     33
     12    9534    5836    3086    1206   1033   -718  Running  2025-03-30 14:12:25     34
     12    6972    3676    1756    1412   1271   -887  Running  2025-03-30 14:12:25     35
     12    2124    1314     938    1683   1565   -597  Running  2025-03-30 14:12:25     36
     12    -484    -314     766    1872   1664   -298  Running  2025-03-30 14:12:25     37
     12   -3894   -7354     370    2600   1377   -542  Running  2025-03-30 14:12:25     38
     12   -5932  -15932    8088    3498    899  -1139  Running  2025-03-30 14:12:25     39
     12   -9354  -26458   32767    4908    -86  -2291  Running  2025-03-30 14:12:25     40
     12   -8178  -21402   32767    4836   -142  -3132  Running  2025-03-30 14:12:25     41
     12    3770  -27966   32767    2531   -262  -3120  Running  2025-03-30 14:12:25     42
     12    9912  -32768   32767    1293   -342  -1624  Running  2025-03-30 14:12:25     43
     12   16414  -29766   31056    1433    -29    377  Running  2025-03-30 14:12:25     44
     12   17544  -17150   21010    1697    271    336  Running  2025-03-30 14:12:25     45
     12   13954   -8674    5774    1494    516  -1543  Running  2025-03-30 14:12:25     46
     12   11092  -10226   -3660    1299    651  -3325  Running  2025-03-30 14:12:25     47
     12    6728  -16222  -15020    1115    952  -4789  Running  2025-03-30 14:12:25     48
     12    2788  -19272  -21140     827   1198  -3958  Running  2025-03-30 14:12:25     49
     12   -3464  -17378  -25790     607   1184  -2816  Running  2025-03-30 14:12:25     50
     12   -7026  -13608  -24904     229   1052  -1560  Running  2025-03-30 14:12:26     51
     12  -10620   -9704  -19310     -88   1048  -1320  Running  2025-03-30 14:12:26     52
     12  -11222   -8936  -14616    -727   1195  -1519  Running  2025-03-30 14:12:26     53
     12  -10078  -10196   -9294   -1221   1239  -1715  Running  2025-03-30 14:12:26     54
     12   -8748  -12926   -7040   -1690   1001  -2073  Running  2025-03-30 14:12:26     55
     12   -4142  -25292    2946   -1854    986  -2206  Running  2025-03-30 14:12:26     56
     12    3406  -32768   32767   -2184   1152   -843  Running  2025-03-30 14:12:26     57
