user-id  acc-X   acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label    timestamp            count
     12  -8186  -11450   7368    -61    -18    -22  Sitting  2025-03-30 13:47:30      1
     12  -8188  -11452   7366    -60    -20    -18  Sitting  2025-03-30 13:47:30      2
     12  -8196  -11456   7364    -58    -23    -13  Sitting  2025-03-30 13:47:30      3
     12  -8166  -11454   7348    -57    -22    -11  Sitting  2025-03-30 13:47:30      4
     12  -8122  -11408   7356    -56    -18     -9  Sitting  2025-03-30 13:47:30      5
     12  -8082  -11382   7392    -55    -14    -13  Sitting  2025-03-30 13:47:30      6
     12  -8056  -11342   7440    -55     -8    -22  Sitting  2025-03-30 13:47:30      7
     12  -8066  -11338   7460    -53     -5    -30  Sitting  2025-03-30 13:47:30      8
     12  -8110  -11366   7484    -50      0    -43  Sitting  2025-03-30 13:47:30      9
     12  -8142  -11402   7450    -47      2    -50  Sitting  2025-03-30 13:47:30     10
     12  -8186  -11442   7408    -44      5    -58  Sitting  2025-03-30 13:47:30     11
     12  -8188  -11460   7336    -44      6    -61  Sitting  2025-03-30 13:47:30     12
     12  -8174  -11504   7256    -44      3    -59  Sitting  2025-03-30 13:47:30     13
     12  -8170  -11518   7230    -45      0    -52  Sitting  2025-03-30 13:47:30     14
     12  -8158  -11486   7238    -46     -5    -37  Sitting  2025-03-30 13:47:30     15
     12  -8160  -11460   7238    -50     -8    -27  Sitting  2025-03-30 13:47:30     16
     12  -8176  -11430   7222    -53    -12    -20  Sitting  2025-03-30 13:47:30     17
     12  -8166  -11440   7232    -55    -15    -20  Sitting  2025-03-30 13:47:30     18
     12  -8190  -11508   7282    -56    -19    -19  Sitting  2025-03-30 13:47:30     19
     12  -8198  -11542   7248    -54    -23    -17  Sitting  2025-03-30 13:47:30     20
     12  -8206  -11618   7250    -52    -30     -9  Sitting  2025-03-30 13:47:30     21
     12  -8204  -11594   7240    -51    -34     -1  Sitting  2025-03-30 13:47:30     22
     12  -8194  -11512   7284    -50    -39      7  Sitting  2025-03-30 13:47:30     23
     12  -8172  -11470   7298    -50    -42      8  Sitting  2025-03-30 13:47:30     24
     12  -8134  -11440   7326    -50    -44      7  Sitting  2025-03-30 13:47:30     25
     12  -8136  -11456   7336    -49    -44      7  Sitting  2025-03-30 13:47:30     26
     12  -8118  -11468   7364    -47    -41      6  Sitting  2025-03-30 13:47:30     27
     12  -8116  -11456   7366    -45    -38      2  Sitting  2025-03-30 13:47:30     28
     12  -8094  -11424   7362    -42    -31     -5  Sitting  2025-03-30 13:47:30     29
     12  -8078  -11420   7366    -41    -26    -10  Sitting  2025-03-30 13:47:30     30
     12  -8082  -11410   7384    -38    -19    -16  Sitting  2025-03-30 13:47:30     31
     12  -8090  -11412   7414    -35    -14    -21  Sitting  2025-03-30 13:47:30     32
     12  -8102  -11402   7424    -30     -7    -34  Sitting  2025-03-30 13:47:30     33
     12  -8102  -11390   7408    -29     -3    -43  Sitting  2025-03-30 13:47:30     34
     12  -8058  -11294   7364    -30      7    -53  Sitting  2025-03-30 13:47:30     35
     12  -8022  -11252   7366    -36     15    -61  Sitting  2025-03-30 13:47:30     36
