user-id   acc-X  acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label     timestamp            count
      5   -3280   3176  22136   1493   -763   1473  Upstairs  2025-03-29 14:04:03      1
      5   -3580   2664  21578   1582   -921   1353  Upstairs  2025-03-29 14:04:03      2
      5   -3316   1996  20310   1641   -990   1243  Upstairs  2025-03-29 14:04:03      3
      5   -2268   1444  17554   1753  -1039   1035  Upstairs  2025-03-29 14:04:03      4
      5   -1522   2098  15858   1812  -1043    951  Upstairs  2025-03-29 14:04:03      5
      5   -1050   2458  14406   1838  -1067   1083  Upstairs  2025-03-29 14:04:03      6
      5    -928   1946  13474   1809  -1109   1202  Upstairs  2025-03-29 14:04:03      7
      5   -1290    944  13244   1774  -1156   1236  Upstairs  2025-03-29 14:04:03      8
      5   -1458    536  13536   1782  -1182   1201  Upstairs  2025-03-29 14:04:03      9
      5   -1744    486  14468   1766  -1202   1031  Upstairs  2025-03-29 14:04:03     10
      5   -1992    566  15268   1712  -1201    940  Upstairs  2025-03-29 14:04:03     11
      5   -2280    -20  16244   1546  -1168    778  Upstairs  2025-03-29 14:04:03     12
      5   -2754   -150  17180   1375  -1104    596  Upstairs  2025-03-29 14:04:03     13
      5   -3428   -594  18272   1022   -973    279  Upstairs  2025-03-29 14:04:03     14
      5   -3688   -524  18636    739   -869     37  Upstairs  2025-03-29 14:04:03     15
      5   -3630    106  18674    331   -697   -228  Upstairs  2025-03-29 14:04:03     16
      5   -3490     90  18884    106   -567   -269  Upstairs  2025-03-29 14:04:03     17
      5   -3430  -1264  19360   -216   -362   -252  Upstairs  2025-03-29 14:04:03     18
      5   -3268  -2248  19580   -435   -202   -342  Upstairs  2025-03-29 14:04:03     19
      5   -2732  -1822  19578   -727     98   -621  Upstairs  2025-03-29 14:04:03     20
      5   -2138   -676  19234   -899    330   -726  Upstairs  2025-03-29 14:04:03     21
      5   -1440   1000  18908  -1150    671   -587  Upstairs  2025-03-29 14:04:03     22
      5   -1182   1272  19088  -1416    929   -253  Upstairs  2025-03-29 14:04:03     23
      5   -1454    194  19406  -1574   1032   -187  Upstairs  2025-03-29 14:04:03     24
      5   -1790   -210  19650  -1741   1095   -452  Upstairs  2025-03-29 14:04:03     25
      5   -1630    -78  19514  -1812   1107   -775  Upstairs  2025-03-29 14:04:03     26
      5    -362    684  18186  -1884   1112  -1288  Upstairs  2025-03-29 14:04:03     27
      5     774   1780  17112  -1904   1098  -1563  Upstairs  2025-03-29 14:04:03     28
      5    1548   3628  16202  -1898   1050  -1768  Upstairs  2025-03-29 14:04:03     29
      5    1692   4580  15862  -1883   1016  -1818  Upstairs  2025-03-29 14:04:03     30
      5    2646   6656  14510  -1867    930  -1720  Upstairs  2025-03-29 14:04:03     31
      5    3008   7150  13886  -1885    864  -1583  Upstairs  2025-03-29 14:04:03     32
      5    2714   7812  13346  -1917    777  -1402  Upstairs  2025-03-29 14:04:03     33
      5    2630   8410  13228  -1925    718  -1264  Upstairs  2025-03-29 14:04:03     34
      5    2418   8984  13892  -1901    640  -1033  Upstairs  2025-03-29 14:04:03     35
      5    2194   9010  14874  -1863    580   -898  Upstairs  2025-03-29 14:04:03     36
      5    1958   8746  16404  -1768    465   -748  Upstairs  2025-03-29 14:04:03     37
      5    1884   8152  17016  -1647    389   -680  Upstairs  2025-03-29 14:04:03     38
      5    1920   7094  17320  -1336    327   -633  Upstairs  2025-03-29 14:04:03     39
      5    1756   6984  18064  -1060    321   -628  Upstairs  2025-03-29 14:04:03     40
      5    1582   7328  19334   -627    329   -526  Upstairs  2025-03-29 14:04:03     41
      5    1462   7544  20290   -363    320   -373  Upstairs  2025-03-29 14:04:03     42
      5    1292   7256  21174     -1    262    -35  Upstairs  2025-03-29 14:04:03     43
      5    1104   6688  20952    228    198    222  Upstairs  2025-03-29 14:04:03     44
      5     662   5520  20018    589     63    604  Upstairs  2025-03-29 14:04:03     45
      5     230   5018  19854    844    -50    848  Upstairs  2025-03-29 14:04:03     46
      5    -638   4136  20520   1209   -252   1173  Upstairs  2025-03-29 14:04:03     47
      5   -1264   3320  21274   1547   -469   1340  Upstairs  2025-03-29 14:04:03     48
      5   -1840   2254  22130   1750   -605   1321  Upstairs  2025-03-29 14:04:03     49
      5   -1996   1822  22428   2002   -766   1129  Upstairs  2025-03-29 14:04:03     50
      5   -2002   1892  22422   2115   -848    971  Upstairs  2025-03-29 14:04:04     51
      5   -1700   1814  21466   2220   -947    779  Upstairs  2025-03-29 14:04:04     52
      5   -1434   1964  20226   2258   -984    686  Upstairs  2025-03-29 14:04:04     53
      5    -824   2890  17730   2245  -1002    755  Upstairs  2025-03-29 14:04:04     54
      5    -382   3032  16068   2193  -1013   1030  Upstairs  2025-03-29 14:04:04     55
      5     -32   1956  14310   2074  -1041   1503  Upstairs  2025-03-29 14:04:04     56
      5      16    858  13726   1977  -1064   1673  Upstairs  2025-03-29 14:04:04     57
      5    -200    160  13598   1877  -1099   1729  Upstairs  2025-03-29 14:04:04     58
      5    -590    244  13954   1814  -1111   1693  Upstairs  2025-03-29 14:04:04     59
      5   -1444    264  15102   1654  -1138   1621  Upstairs  2025-03-29 14:04:04     60
      5   -1896   -274  16098   1528  -1168   1540  Upstairs  2025-03-29 14:04:04     61
      5   -2570  -1438  17364   1357  -1203   1201  Upstairs  2025-03-29 14:04:04     62
      5   -2714  -1680  17708   1238  -1191    802  Upstairs  2025-03-29 14:04:04     63
      5   -2822   -706  18440    990  -1087    161  Upstairs  2025-03-29 14:04:04     64
      5   -2816    114  19298    775   -979   -177  Upstairs  2025-03-29 14:04:04     65
      5   -2754    962  20768    422   -812   -487  Upstairs  2025-03-29 14:04:04     66
      5   -2688    956  21264    184   -696   -586  Upstairs  2025-03-29 14:04:04     67
      5   -2488    294  20494   -172   -456   -756  Upstairs  2025-03-29 14:04:04     68
