user-id   acc-X   acc-Y   acc-Z  ang-X  ang-Y  ang-Z  label    timestamp            count
      5   -5952    5446   10318    494   -347  -1295  Skipping  2025-03-29 14:23:10      1
      5   -6486   12308   20096   1215   -799  -2186  Skipping  2025-03-29 14:23:10      2
      5   -7634   21814   30104   1508  -1140  -2820  Skipping  2025-03-29 14:23:10      3
      5  -14914   32767   32767   1417  -1406  -3042  Skipping  2025-03-29 14:23:10      4
      5  -17162   32767   32767    979  -1394  -2446  Skipping  2025-03-29 14:23:10      5
      5  -15436   32767   31762    359  -1083   -798  Skipping  2025-03-29 14:23:10      6
      5  -14150   28892   22896     61   -668     45  Skipping  2025-03-29 14:23:10      7
      5  -10932   17716   10370    -86     53    695  Skipping  2025-03-29 14:23:10      8
      5   -7992   10418    3352   -133    428   1139  Skipping  2025-03-29 14:23:10      9
      5   -2308   -2296   -4122   -382    552   1650  Skipping  2025-03-29 14:23:10     10
      5    1360   -8106   -7976   -664    456   1442  Skipping  2025-03-29 14:23:10     11
      5   -1020   -9500   -8000  -1060    746    382  Skipping  2025-03-29 14:23:10     12
      5   -1974   -4690   -3328  -1393    826    -93  Skipping  2025-03-29 14:23:10     13
      5     638   -2706    1644  -1701    528    177  Skipping  2025-03-29 14:23:10     14
      5    1314   -4246    2958  -1680    171    129  Skipping  2025-03-29 14:23:10     15
      5    1222    -496    4158  -1271   -310   -368  Skipping  2025-03-29 14:23:10     16
      5     174    2900    3690   -666   -434   -558  Skipping  2025-03-29 14:23:10     17
      5   -1870    6998    4270    -80   -299   -589  Skipping  2025-03-29 14:23:10     18
      5   -4590   16582   11730    900    -69   -423  Skipping  2025-03-29 14:23:10     19
      5  -10434   22652   21042   1320     90   -242  Skipping  2025-03-29 14:23:10     20
      5  -15444   28318   30672   1436    225    -88  Skipping  2025-03-29 14:23:10     21
      5  -16150   32634   32767   1336    236     12  Skipping  2025-03-29 14:23:10     22
      5  -14962   32767   32090   1121    338    406  Skipping  2025-03-29 14:23:10     23
      5  -13366   32767   28232   1006    587    689  Skipping  2025-03-29 14:23:10     24
      5   -9976   24566   19750    757   1023   1436  Skipping  2025-03-29 14:23:10     25
      5   -7666   14372   13222    482   1210   1928  Skipping  2025-03-29 14:23:10     26
      5   -5532    -854    4364     84   1211   1816  Skipping  2025-03-29 14:23:10     27
      5   -2424   -6340    1554    -97   1042   1129  Skipping  2025-03-29 14:23:10     28
      5    2848   -6502    1354   -254    565   -152  Skipping  2025-03-29 14:23:10     29
      5    3552   -4864     984   -414    226   -627  Skipping  2025-03-29 14:23:10     30
      5    2010   -2690    1846   -812   -103   -631  Skipping  2025-03-29 14:23:10     31
      5     144   -1284    1754   -980   -220   -505  Skipping  2025-03-29 14:23:10     32
      5   -2092    -796     656   -807   -288   -544  Skipping  2025-03-29 14:23:10     33
      5   -4296    2480    1208   -184   -275   -666  Skipping  2025-03-29 14:23:10     34
      5   -4000    6766    6808    863   -290   -646  Skipping  2025-03-29 14:23:10     35
      5   -3886    8774    8830   1454   -274   -589  Skipping  2025-03-29 14:23:10     36
      5   -6416   17460   13246   1422   -247   -323  Skipping  2025-03-29 14:23:10     37
      5  -10616   27784   19588   1072   -287    231  Skipping  2025-03-29 14:23:10     38
      5  -12380   32266   23610    727   -283    376  Skipping  2025-03-29 14:23:10     39
      5  -10562   31928   25538    -62   -161    437  Skipping  2025-03-29 14:23:10     40
      5   -7796   25496   23492   -755     -2    554  Skipping  2025-03-29 14:23:10     41
      5   -6504   14980   17168  -1615    105    517  Skipping  2025-03-29 14:23:10     42
      5   -3756   10930   11778  -1933    -19    232  Skipping  2025-03-29 14:23:10     43
      5   -1796    8022    3008  -1880   -266    -81  Skipping  2025-03-29 14:23:10     44
      5   -1838    6114   -1026  -1700   -378    -50  Skipping  2025-03-29 14:23:10     45
      5   -4210    4254   -2964  -1306   -298    327  Skipping  2025-03-29 14:23:10     46
      5   -6058    1330   -2142  -1011    -43    627  Skipping  2025-03-29 14:23:10     47
      5   -6260   -2340    1964   -180    363    448  Skipping  2025-03-29 14:23:10     48
      5   -2772   -3348    5956    463    343    -98  Skipping  2025-03-29 14:23:10     49
