user-id   acc-X   acc-Y   acc-Z   ang-X  ang-Y  ang-Z  label      timestamp            count
      5   -1084   -3500   14660    1298   -804    955  Squatting  2025-03-29 15:53:15      1
      5   -1242   -2234   14860    1557   -864    430  Squatting  2025-03-29 15:53:15      2
      5   -1388   -1334   15006    1858   -925    153  Squatting  2025-03-29 15:53:15      3
      5   -1546    -680   15864    2106   -959    160  Squatting  2025-03-29 15:53:15      4
      5   -1824     718   18454    2536   -978    429  Squatting  2025-03-29 15:53:15      5
      5   -2044    1224   22084    2749  -1012    929  Squatting  2025-03-29 15:53:15      6
      5   -1458   -3898   27034    2875  -1228   1861  Squatting  2025-03-29 15:53:15      7
      5    -888  -11862   27884    3108  -1379   1546  Squatting  2025-03-29 15:53:15      8
      5   -1198  -11808   27348    4102  -1323   -437  Squatting  2025-03-29 15:53:15      9
      5   -1892   -5366   26214    4711  -1140  -1570  Squatting  2025-03-29 15:53:15     10
      5   -2114    4162   25412    5277   -802  -1736  Squatting  2025-03-29 15:53:15     11
      5   -2154    6932   25706    5415   -604  -1065  Squatting  2025-03-29 15:53:15     12
      5   -2134    5512   26158    5498   -421     82  Squatting  2025-03-29 15:53:15     13
      5   -1896    3142   25760    5578   -356    471  Squatting  2025-03-29 15:53:15     14
      5   -1832    1958   23036    5779   -245    509  Squatting  2025-03-29 15:53:15     15
      5   -1986    3528   20886    5928   -106    423  Squatting  2025-03-29 15:53:15     16
      5   -2324    6302   18788    6028    179    476  Squatting  2025-03-29 15:53:15     17
      5   -2942    7714   17756    6029    360    743  Squatting  2025-03-29 15:53:15     18
      5   -3600    9132   16858    6044    565   1392  Squatting  2025-03-29 15:53:15     19
      5   -3842   10010   16446    6031    625   1901  Squatting  2025-03-29 15:53:15     20
      5   -3872    9260   14962    5910    617   2569  Squatting  2025-03-29 15:53:15     21
      5   -4432    7998   13774    5779    639   2884  Squatting  2025-03-29 15:53:15     22
      5   -4384    8666   12402    5723    591   3073  Squatting  2025-03-29 15:53:15     23
      5   -3230    8902   10162    5542    432   3552  Squatting  2025-03-29 15:53:15     24
      5   -3156    7780    8924    5343    330   3911  Squatting  2025-03-29 15:53:15     25
      5   -2704    5982    7252    5013    129   4291  Squatting  2025-03-29 15:53:15     26
      5   -2578    5874    6418    4800     -8   4443  Squatting  2025-03-29 15:53:15     27
      5   -1542    5054    4448    4409   -243   4675  Squatting  2025-03-29 15:53:15     28
      5   -1080    3874    3076    4140   -384   4758  Squatting  2025-03-29 15:53:15     29
      5    -386    1078     606    3735   -536   4744  Squatting  2025-03-29 15:53:15     30
      5     132   -1158   -1064    3493   -595   4575  Squatting  2025-03-29 15:53:15     31
      5    1116   -3068   -4296    3149   -591   4028  Squatting  2025-03-29 15:53:15     32
      5    1718   -3758   -6372    2865   -521   3592  Squatting  2025-03-29 15:53:15     33
      5    3432   -5350   -9306    2360   -319   2851  Squatting  2025-03-29 15:53:15     34
      5    5266   -6630  -11238    1998   -127   2248  Squatting  2025-03-29 15:53:15     35
      5    9010   -7492  -13206    1407    164   1216  Squatting  2025-03-29 15:53:15     36
      5   11938   -7562  -13844     990    304    651  Squatting  2025-03-29 15:53:15     37
      5   16648   -7362  -14082     430    363    206  Squatting  2025-03-29 15:53:15     38
      5   19748   -6838  -14284     153    326    132  Squatting  2025-03-29 15:53:15     39
      5   23870   -5902  -15884    -153    163    200  Squatting  2025-03-29 15:53:15     40
      5   26364   -5396  -18134    -259     41    264  Squatting  2025-03-29 15:53:15     41
      5   29618   -5458  -21378    -249    -76    247  Squatting  2025-03-29 15:53:15     42
      5   30906   -4340  -23846    -259   -110   -105  Squatting  2025-03-29 15:53:15     43
      5   32524   -3488  -27492    -424    -24   -385  Squatting  2025-03-29 15:53:15     44
      5   32767   -4458  -28404    -738    188   -823  Squatting  2025-03-29 15:53:15     45
      5   32512   -5932  -27312    -846    300   -890  Squatting  2025-03-29 15:53:15     46
      5   29760   -6530  -24764    -818    413   -866  Squatting  2025-03-29 15:53:15     47
      5   27394   -5070  -22542    -783    479   -856  Squatting  2025-03-29 15:53:15     48
      5   23530   -2244  -18000    -820    528   -856  Squatting  2025-03-29 15:53:15     49
      5   20416    -452  -14824    -924    493   -944  Squatting  2025-03-29 15:53:15     50
      5   16288    2060  -10976   -1274    341  -1221  Squatting  2025-03-29 15:53:16     51
      5   14478    2904   -9052   -1634    275  -1409  Squatting  2025-03-29 15:53:16     52
      5   12804    3708   -6030   -2335    280  -1723  Squatting  2025-03-29 15:53:16     53
      5   12040    2804   -4666   -2774    327  -2077  Squatting  2025-03-29 15:53:16     54
      5   10268   -1306   -3344   -3309    422  -3500  Squatting  2025-03-29 15:53:16     55
      5    7782   -3492    -350   -3724    380  -5098  Squatting  2025-03-29 15:53:16     56
      5    2898    4980    5218   -4221    -91  -7186  Squatting  2025-03-29 15:53:16     57
      5    1562   12828    5966   -4797   -671  -7365  Squatting  2025-03-29 15:53:16     58
      5    1788   17138    3168   -5944  -1429  -5931  Squatting  2025-03-29 15:53:16     59
      5    1338   14906    2044   -6693  -1681  -4908  Squatting  2025-03-29 15:53:16     60
      5     602   13442    4460   -7398  -1513  -4313  Squatting  2025-03-29 15:53:16     61
      5     882   15926    7840   -8009  -1250  -4079  Squatting  2025-03-29 15:53:16     62
      5    1268   20320   12688   -8482  -1254  -3664  Squatting  2025-03-29 15:53:16     63
      5    -666   19814   14418   -9176  -1262  -2751  Squatting  2025-03-29 15:53:16     64
      5   -4402   16112   16790   -9635   -987  -2073  Squatting  2025-03-29 15:53:16     65
      5   -7960   12288   26462   -9776   -501  -1260  Squatting  2025-03-29 15:53:16     66
      5   -8840   14784   30290   -9582   -386   -449  Squatting  2025-03-29 15:53:16     67
      5   -9056   11788   25338   -8956   -298   1953  Squatting  2025-03-29 15:53:16     68
      5   -9510    5730   19532   -8144    -79   3747  Squatting  2025-03-29 15:53:16     69
      5   -9386   -4880   13068   -6642    559   5411  Squatting  2025-03-29 15:53:16     70
      5   -7186  -11624   11596   -5608   1082   5283  Squatting  2025-03-29 15:53:16     71
      5   -3896  -16476   12680   -4159   1720   3100  Squatting  2025-03-29 15:53:16     72
