user-id   acc-X   acc-Y   acc-Z  ang-X  ang-Y  ang-Z  label      timestamp            count
      6    4802   -2724     676  -2803    830   3990  Squatting  2025-03-29 16:11:08      1
      6    4508     -18   -3712  -2212    692   3770  Squatting  2025-03-29 16:11:08      2
      6    4582    2514   -6578  -1835    561   3468  Squatting  2025-03-29 16:11:08      3
      6    5990    6058  -11646  -1342    243   2743  Squatting  2025-03-29 16:11:08      4
      6    5538    8272  -16236  -1024    -35   2012  Squatting  2025-03-29 16:11:08      5
      6    2866   11864  -22628   -509   -494    530  Squatting  2025-03-29 16:11:08      6
      6     158   15608  -26084   -271   -770   -591  Squatting  2025-03-29 16:11:08      7
      6   -4746   16520  -29184    -98   -969  -2223  Squatting  2025-03-29 16:11:08      8
      6   -8920   15298  -31116    126   -874  -3008  Squatting  2025-03-29 16:11:08      9
      6  -14918   12666  -32768    571   -597  -3705  Squatting  2025-03-29 16:11:08     10
      6  -17504    9002  -32768    924   -322  -3817  Squatting  2025-03-29 16:11:08     11
      6  -18660    4174  -31910   1527    214  -3372  Squatting  2025-03-29 16:11:08     12
      6  -19474    1126  -30308   1981    422  -3158  Squatting  2025-03-29 16:11:08     13
      6  -18588   -2470  -25794   2833    270  -3263  Squatting  2025-03-29 16:11:08     14
      6  -16102   -3696  -20974   3482     16  -3525  Squatting  2025-03-29 16:11:08     15
      6  -11588   -8074  -14186   4587   -296  -4155  Squatting  2025-03-29 16:11:08     16
      6  -10880  -14036   -9706   5461   -363  -4516  Squatting  2025-03-29 16:11:08     17
      6  -10488  -20020   -3154   6743   -592  -4122  Squatting  2025-03-29 16:11:08     18
      6   -8126  -18846     272   7204   -829  -3221  Squatting  2025-03-29 16:11:08     19
      6   -6240  -16726    2322   7796  -1163  -2459  Squatting  2025-03-29 16:11:08     20
      6   -4838  -20120    7410   8140  -1283  -2223  Squatting  2025-03-29 16:11:08     21
      6   -2648  -24788   16104   8444  -1459   -519  Squatting  2025-03-29 16:11:08     22
      6    -546  -22582   18216   8040  -1740   1597  Squatting  2025-03-29 16:11:08     23
      6   -1352  -16046   18032   7059  -2526   4110  Squatting  2025-03-29 16:11:08     24
      6   -1278   -9570   20484   6551  -3364   4728  Squatting  2025-03-29 16:11:08     25
      6     -12     -56   25996   5707  -4405   4280  Squatting  2025-03-29 16:11:08     26
      6     452     966   26636   4958  -4772   3618  Squatting  2025-03-29 16:11:08     27
      6    2248    -254   27288   4307  -5020   2931  Squatting  2025-03-29 16:11:08     28
      6    2858     904   27200   4162  -4990   2737  Squatting  2025-03-29 16:11:08     29
      6    2726    3274   25488   3860  -4737   2476  Squatting  2025-03-29 16:11:08     30
