user-id  acc-X   acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label     timestamp            count
      6   6092  -12130  14020    -86   1415   -491  Sweeping  2025-03-29 15:44:23      1
      6   5830  -11702  13304     33   1351   -217  Sweeping  2025-03-29 15:44:23      2
      6   5154  -10780  12490    262   1355      1  Sweeping  2025-03-29 15:44:23      3
      6   4566  -10296  12054    405   1422     41  Sweeping  2025-03-29 15:44:23      4
      6   3296  -10708  10732    607   1549     46  Sweeping  2025-03-29 15:44:23      5
      6   2214  -11406   9664    837   1552    101  Sweeping  2025-03-29 15:44:23      6
      6   1894  -11470  10068   1249   1336    350  Sweeping  2025-03-29 15:44:23      7
      6   2294  -12112   9778   1463   1078    636  Sweeping  2025-03-29 15:44:23      8
      6   3048  -13186   9540   1796    662   1756  Sweeping  2025-03-29 15:44:23      9
      6   3312  -10178  10060   2035    398   2844  Sweeping  2025-03-29 15:44:23     10
      6   2260   -1476  11232   2219     21   3587  Sweeping  2025-03-29 15:44:23     11
      6    904     620  13098   2083   -138   2815  Sweeping  2025-03-29 15:44:23     12
      6   -960   -2144  15768   1474    114    764  Sweeping  2025-03-29 15:44:23     13
      6   -386   -5292  17348    934    398   -317  Sweeping  2025-03-29 15:44:23     14
      6    406   -9038  14190     40    723   -892  Sweeping  2025-03-29 15:44:23     15
      6   1320  -10040  11142   -363    728   -834  Sweeping  2025-03-29 15:44:23     16
      6    338   -8980   9398   -567    649   -283  Sweeping  2025-03-29 15:44:23     17
      6   -538   -6524   9478   -466    610    -23  Sweeping  2025-03-29 15:44:23     18
      6   -960   -4272   9882   -177    594   -217  Sweeping  2025-03-29 15:44:23     19
      6   -200   -6056   9824    -24    590   -421  Sweeping  2025-03-29 15:44:23     20
      6    442   -8950   9986    156    633   -229  Sweeping  2025-03-29 15:44:23     21
      6    482   -9684  10178    219    648     86  Sweeping  2025-03-29 15:44:23     22
      6    352  -10674  10398    252    530    546  Sweeping  2025-03-29 15:44:23     23
      6    464  -11030  11182    252    355    901  Sweeping  2025-03-29 15:44:23     24
      6    766   -9786  13066    262     84   1435  Sweeping  2025-03-29 15:44:23     25
      6    506   -7144  14598    245    -52   1615  Sweeping  2025-03-29 15:44:23     26
      6   -228   -4510  16158     16   -204   1382  Sweeping  2025-03-29 15:44:23     27
      6   -696   -5510  16360   -190   -296   1112  Sweeping  2025-03-29 15:44:23     28
      6  -1260   -4790  17358   -291   -403   1243  Sweeping  2025-03-29 15:44:23     29
      6  -1766   -1992  18510   -284   -449   1351  Sweeping  2025-03-29 15:44:23     30
      6  -2612    2422  20656   -438   -494   1014  Sweeping  2025-03-29 15:44:23     31
      6  -2914    1882  21012   -608   -575    534  Sweeping  2025-03-29 15:44:23     32
      6  -1872   -1622  20518   -789   -905    541  Sweeping  2025-03-29 15:44:23     33
      6   -816   -1126  20926   -903  -1197    992  Sweeping  2025-03-29 15:44:23     34
      6    -38     480  21642  -1139  -1568   1325  Sweeping  2025-03-29 15:44:23     35
      6    638     288  21710  -1250  -1739   1298  Sweeping  2025-03-29 15:44:23     36
      6   1954   -1220  20938  -1352  -1969   1051  Sweeping  2025-03-29 15:44:23     37
      6   3080   -2680  20088  -1426  -2174    946  Sweeping  2025-03-29 15:44:23     38
      6   3768   -2748  19110  -1508  -2374    900  Sweeping  2025-03-29 15:44:23     39
      6   3204   -2134  18412  -1451  -2316    719  Sweeping  2025-03-29 15:44:23     40
      6   2316   -3466  17426  -1247  -2092    342  Sweeping  2025-03-29 15:44:23     41
      6   1700   -4258  17382  -1149  -1947    230  Sweeping  2025-03-29 15:44:23     42
      6   1330   -5678  17142  -1073  -1781    151  Sweeping  2025-03-29 15:44:23     43
