user-id   acc-X   acc-Y   acc-Z   ang-X   ang-Y   ang-Z  label    timestamp            count
      7    7388    4606   -9452    1960     177    1355  Running  2025-03-29 16:52:25      1
      7   10128    9848   -9320    2091     535    1208  Running  2025-03-29 16:52:25      2
      7   15500   25516   -3036    2107     877     423  Running  2025-03-29 16:52:25      3
      7   14308   32767   31794    1835    1240     903  Running  2025-03-29 16:52:25      4
      7    5990   32767   32767    1762    1180    2027  Running  2025-03-29 16:52:25      5
      7    4946   32767   32767    2523     685    2287  Running  2025-03-29 16:52:25      6
      7    5792   32767   32767    2966     330    2345  Running  2025-03-29 16:52:25      7
      7    3772   22862   32060    3444    -105    2153  Running  2025-03-29 16:52:25      8
      7     718   15092   25908    3581    -223    2090  Running  2025-03-29 16:52:25      9
      7   -4290    3652   19010    3416    -327    2384  Running  2025-03-29 16:52:25     10
      7   -6334   -3414   16566    3117    -391    2487  Running  2025-03-29 16:52:25     11
      7   -8138  -10296   13588    2440    -351    2143  Running  2025-03-29 16:52:25     12
      7   -8676  -12538   11960    1872    -288    1682  Running  2025-03-29 16:52:25     13
      7   -9586  -13366   10314     964    -186     910  Running  2025-03-29 16:52:25     14
      7  -10148  -12364   10162     398    -138     438  Running  2025-03-29 16:52:25     15
      7  -10756   -8190   11456    -393    -106    -180  Running  2025-03-29 16:52:25     16
      7   -9394   -5702   11106    -963    -144    -393  Running  2025-03-29 16:52:25     17
      7   -5310   -3798   10450   -1818    -206    -519  Running  2025-03-29 16:52:25     18
      7     250    2174   15106   -2447    -256    -982  Running  2025-03-29 16:52:25     19
      7    3854   18064   24216   -3032    -349   -2118  Running  2025-03-29 16:52:25     20
      7   10684   32767   32767   -4143    -698   -2609  Running  2025-03-29 16:52:25     21
      7   15124   32767   32767   -4195    -906   -2514  Running  2025-03-29 16:52:25     22
      7   18100   28242   30216   -3173   -1077   -2791  Running  2025-03-29 16:52:25     23
      7   17504   27292   19194   -2438    -974   -2820  Running  2025-03-29 16:52:25     24
      7   14678   23190    5098   -1866    -769   -2280  Running  2025-03-29 16:52:25     25
      7   11644   18776     398   -1652    -675   -1772  Running  2025-03-29 16:52:25     26
      7    7712   13166   -2214   -1364    -654    -926  Running  2025-03-29 16:52:25     27
      7    6800   10196   -3366   -1207    -762    -490  Running  2025-03-29 16:52:25     28
      7    6704    7196   -4254   -1024   -1110    -237  Running  2025-03-29 16:52:25     29
      7    6712    5436   -4386    -847   -1440    -303  Running  2025-03-29 16:52:25     30
