user-id   acc-X   acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label     timestamp            count
      8    -106    4800  18662   1037    603     -5  Upstairs  2025-03-30 09:35:27      1
      8    -584    4474  17964   1458    734    736  Upstairs  2025-03-30 09:35:27      2
      8   -1756    3296  19268   1747    797   1173  Upstairs  2025-03-30 09:35:27      3
      8   -2702    2244  20442   2130    821   1600  Upstairs  2025-03-30 09:35:27      4
      8   -3354    2152  20852   2359    813   1719  Upstairs  2025-03-30 09:35:27      5
      8   -3890    1928  20238   2657    783   1782  Upstairs  2025-03-30 09:35:27      6
      8   -3814    2094  19446   2841    784   1782  Upstairs  2025-03-30 09:35:27      7
      8   -4144     690  19040   3013    765   1592  Upstairs  2025-03-30 09:35:27      8
      8   -4172     922  17740   3154    777   1372  Upstairs  2025-03-30 09:35:27      9
      8   -3970     710  16284   3186    743    938  Upstairs  2025-03-30 09:35:27     10
      8   -3536    1412  15260   3209    770    685  Upstairs  2025-03-30 09:35:27     11
      8   -3464    3070  13826   3150    763    522  Upstairs  2025-03-30 09:35:27     12
      8   -3350    4014  12948   3062    767    562  Upstairs  2025-03-30 09:35:27     13
      8   -4168    5150  12754   2927    736    859  Upstairs  2025-03-30 09:35:27     14
      8   -4554    5344  13076   2801    653   1126  Upstairs  2025-03-30 09:35:27     15
      8   -5094    5112  13888   2570    473   1502  Upstairs  2025-03-30 09:35:27     16
      8   -5388    4856  14578   2355    308   1675  Upstairs  2025-03-30 09:35:27     17
      8   -5642    4026  15616   1917     43   1733  Upstairs  2025-03-30 09:35:27     18
      8   -5710    3610  16364   1590   -113   1631  Upstairs  2025-03-30 09:35:27     19
      8   -5752    3452  17658   1053   -302   1279  Upstairs  2025-03-30 09:35:27     20
      8   -5662    3666  18330    664   -402    951  Upstairs  2025-03-30 09:35:27     21
      8   -5502    4532  19360     36   -513    408  Upstairs  2025-03-30 09:35:27     22
      8   -5524    5386  20276   -427   -565     38  Upstairs  2025-03-30 09:35:27     23
      8   -5262    6858  21048  -1157   -618   -417  Upstairs  2025-03-30 09:35:27     24
      8   -4900    7626  21098  -1860   -641   -656  Upstairs  2025-03-30 09:35:27     25
      8   -3604    7450  19722  -2268   -629   -701  Upstairs  2025-03-30 09:35:27     26
      8   -2186    6044  18146  -2718   -528   -682  Upstairs  2025-03-30 09:35:27     27
