user-id   acc-X   acc-Y  acc-Z  ang-X  ang-Y  ang-Z  label       timestamp            count
      8    1640    2480  10822  -1158    348    438  Downstairs  2025-03-30 09:38:59      1
      8    1828    2834  10030  -1063    389    353  Downstairs  2025-03-30 09:38:59      2
      8    1932    3398   8754   -906    437    384  Downstairs  2025-03-30 09:38:59      3
      8    1778    3654   8206   -803    466    493  Downstairs  2025-03-30 09:38:59      4
      8    1274    3982   8468   -672    499    708  Downstairs  2025-03-30 09:38:59      5
      8     736    4258   9352   -624    504    831  Downstairs  2025-03-30 09:38:59      6
      8    -244    4768  11680   -620    461    960  Downstairs  2025-03-30 09:38:59      7
      8   -1070    4868  14160   -649    385   1013  Downstairs  2025-03-30 09:38:59      8
      8   -2378    3830  18442   -677    168   1005  Downstairs  2025-03-30 09:38:59      9
      8   -3076    2290  20928   -631    -19    867  Downstairs  2025-03-30 09:38:59     10
      8   -4984      60  27380   -435   -242    356  Downstairs  2025-03-30 09:38:59     11
      8   -6266    -684  32016   -287   -376   -184  Downstairs  2025-03-30 09:38:59     12
      8   -5490    -694  32066    -24   -618  -1047  Downstairs  2025-03-30 09:38:59     13
      8   -4628    -516  30306    280   -726  -1375  Downstairs  2025-03-30 09:38:59     14
      8   -3854   -1096  27394    901   -694  -1481  Downstairs  2025-03-30 09:38:59     15
      8   -3216   -1572  25238   1361   -533  -1353  Downstairs  2025-03-30 09:38:59     16
      8   -1816   -1664  21836   2022   -174   -908  Downstairs  2025-03-30 09:38:59     17
      8   -1042   -1546  19956   2534    194   -379  Downstairs  2025-03-30 09:38:59     18
      8    -628   -1202  17754   2782    377   -114  Downstairs  2025-03-30 09:38:59     19
      8    -750    -252  15690   3044    515    109  Downstairs  2025-03-30 09:38:59     20
      8    -968     652  14108   3163    533    180  Downstairs  2025-03-30 09:38:59     21
      8   -1472    2368  11874   3306    518    270  Downstairs  2025-03-30 09:38:59     22
      8   -1896    3390  10628   3385    510    362  Downstairs  2025-03-30 09:38:59     23
      8   -2696    4000   9586   3448    498    570  Downstairs  2025-03-30 09:38:59     24
      8   -3240    4024   9460   3455    466    705  Downstairs  2025-03-30 09:38:59     25
      8   -3928    4178   9632   3384    346    859  Downstairs  2025-03-30 09:38:59     26
      8   -4122    4278   9592   3261    209    924  Downstairs  2025-03-30 09:38:59     27
      8   -3858    4184   8890   2984    -46    942  Downstairs  2025-03-30 09:38:59     28
      8   -3506    3994   8262   2778   -214    901  Downstairs  2025-03-30 09:38:59     29
      8   -3004    3752   7890   2499   -415    744  Downstairs  2025-03-30 09:38:59     30
      8   -2712    3672   8020   2320   -512    572  Downstairs  2025-03-30 09:38:59     31
      8   -2300    4024   8420   1998   -609    222  Downstairs  2025-03-30 09:38:59     32
      8   -1982    5028   8984   1730   -655    -49  Downstairs  2025-03-30 09:38:59     33
      8   -1422    7970  10608   1219   -732   -379  Downstairs  2025-03-30 09:38:59     34
      8   -1106   10414  11952    780   -807   -465  Downstairs  2025-03-30 09:38:59     35
