user-id   acc-X   acc-Y   acc-Z  ang-X  ang-Y  ang-Z  label   timestamp            count
      9    4234   -7442  -17196   -425   -469   -164  Waving  2025-03-29 16:29:50      1
      9    3870   -7252  -17640   -557   -605   -223  Waving  2025-03-29 16:29:50      2
      9    3398   -7432  -17360   -788   -858   -300  Waving  2025-03-29 16:29:50      3
      9    3128   -7372  -16944   -929  -1009   -332  Waving  2025-03-29 16:29:50      4
      9    2392   -6366  -16922  -1105  -1195   -397  Waving  2025-03-29 16:29:50      5
      9    1892   -5560  -17052  -1237  -1344   -459  Waving  2025-03-29 16:29:50      6
      9    1140   -5422  -16624  -1491  -1633   -524  Waving  2025-03-29 16:29:50      7
      9     716   -5778  -15884  -1616  -1824   -466  Waving  2025-03-29 16:29:50      8
      9    -180   -5204  -14994  -1701  -1973   -231  Waving  2025-03-29 16:29:50      9
      9    -816   -4230  -14942  -1761  -2029    -47  Waving  2025-03-29 16:29:50     10
      9   -1676   -2640  -14888  -1893  -2172    121  Waving  2025-03-29 16:29:50     11
      9   -2168   -1822  -14466  -1960  -2293    128  Waving  2025-03-29 16:29:50     12
      9   -3198    -646  -13782  -1985  -2435    -20  Waving  2025-03-29 16:29:50     13
      9   -4034    -304  -13512  -1992  -2514   -164  Waving  2025-03-29 16:29:50     14
      9   -5438    -518  -12982  -1971  -2591   -282  Waving  2025-03-29 16:29:50     15
      9   -6160     -56  -12030  -1919  -2576   -255  Waving  2025-03-29 16:29:50     16
      9   -7252    1122  -10806  -1818  -2379    -52  Waving  2025-03-29 16:29:50     17
      9   -8118    1708  -10186  -1711  -2144    164  Waving  2025-03-29 16:29:50     18
      9   -9078    3146   -9788  -1370  -1651    493  Waving  2025-03-29 16:29:50     19
      9   -9774    4458   -9462  -1093  -1298    659  Waving  2025-03-29 16:29:50     20
      9  -11026    6114   -9188   -657   -750    677  Waving  2025-03-29 16:29:50     21
      9  -11726    6790   -9432   -333   -360    489  Waving  2025-03-29 16:29:50     22
      9  -11898    6546  -10060    158    177     54  Waving  2025-03-29 16:29:50     23
      9  -11508    5628  -10534    449    499   -161  Waving  2025-03-29 16:29:50     24
      9  -10808    4668  -11520    846    913   -218  Waving  2025-03-29 16:29:50     25
      9  -10206    4212  -11972   1066   1145   -134  Waving  2025-03-29 16:29:50     26
      9   -9450    3638  -12474   1317   1441    -42  Waving  2025-03-29 16:29:50     27
      9   -8934    3006  -12818   1402   1603    -55  Waving  2025-03-29 16:29:50     28
      9   -7772    1612  -13398   1482   1830   -117  Waving  2025-03-29 16:29:50     29
      9   -6866    1004  -13852   1542   1964   -120  Waving  2025-03-29 16:29:50     30
      9   -5574     690  -14790   1572   2070    -59  Waving  2025-03-29 16:29:50     31
      9   -4850     250  -15218   1534   2074    -43  Waving  2025-03-29 16:29:50     32
      9   -3740   -1140  -15108   1484   2066    -55  Waving  2025-03-29 16:29:50     33
      9   -2994   -1936  -15042   1498   2074      2  Waving  2025-03-29 16:29:50     34
      9   -1978   -2352  -15252   1537   2044    188  Waving  2025-03-29 16:29:50     35
      9   -1308   -2598  -15462   1498   1956    322  Waving  2025-03-29 16:29:50     36
      9    -418   -2384  -15708   1465   1752    363  Waving  2025-03-29 16:29:50     37
      9     262   -2786  -15648   1444   1601    288  Waving  2025-03-29 16:29:50     38
      9    1136   -3920  -15034   1459   1440    211  Waving  2025-03-29 16:29:50     39
      9    1820   -4968  -14460   1413   1390    249  Waving  2025-03-29 16:29:50     40
      9    1878   -6028  -15802   1424   1329    347  Waving  2025-03-29 16:29:50     41
      9    2250   -5928  -16404   1412   1188    342  Waving  2025-03-29 16:29:50     42
      9    3042   -5814  -16044   1318    947     69  Waving  2025-03-29 16:29:50     43
      9    3340   -5164  -15688   1251    802   -330  Waving  2025-03-29 16:29:50     44
      9    3996   -6650  -15354    860    633   -888  Waving  2025-03-29 16:29:50     45
      9    4172   -8108  -15630    606    512  -1052  Waving  2025-03-29 16:29:50     46
      9    4650   -9598  -15792    214    231   -875  Waving  2025-03-29 16:29:50     47
      9    4842  -10054  -15824    -29     38   -556  Waving  2025-03-29 16:29:50     48
      9    4656   -9092  -16600   -324   -271    -87  Waving  2025-03-29 16:29:50     49
      9    4516   -8402  -17094   -546   -520    133  Waving  2025-03-29 16:29:50     50
      9    4122   -7458  -17084   -899   -898    226  Waving  2025-03-29 16:29:51     51
      9    3830   -7180  -17206  -1117  -1123    200  Waving  2025-03-29 16:29:51     52
      9    3182   -6948  -17308  -1382  -1392    166  Waving  2025-03-29 16:29:51     53
      9    2818   -6750  -17296  -1527  -1535    185  Waving  2025-03-29 16:29:51     54
      9    1574   -5988  -17082  -1724  -1693    249  Waving  2025-03-29 16:29:51     55
      9     950   -5272  -16626  -1847  -1822    284  Waving  2025-03-29 16:29:51     56
      9    -272   -3952  -15844  -2019  -1931    320  Waving  2025-03-29 16:29:51     57
      9   -1004   -3424  -15678  -2086  -1962    352  Waving  2025-03-29 16:29:51     58
      9   -2270   -2264  -15314  -2134  -2021    364  Waving  2025-03-29 16:29:51     59
      9   -2976   -1720  -14626  -2213  -2091    356  Waving  2025-03-29 16:29:51     60
      9   -3726    -278  -13650  -2280  -2115    319  Waving  2025-03-29 16:29:51     61
      9   -4172     756  -13430  -2282  -2054    258  Waving  2025-03-29 16:29:51     62
      9   -4930    1944  -13778  -2226  -2018    151  Waving  2025-03-29 16:29:51     63
      9   -5488    2132  -13708  -2198  -2072     83  Waving  2025-03-29 16:29:51     64
      9   -6214    2776  -12328  -2109  -2129    -53  Waving  2025-03-29 16:29:51     65
      9   -6930    3378  -11188  -2003  -2051   -185  Waving  2025-03-29 16:29:51     66
      9   -7832    4126  -10270  -1758  -1777   -303  Waving  2025-03-29 16:29:51     67
      9   -8336    4514  -10138  -1547  -1530   -253  Waving  2025-03-29 16:29:51     68
      9   -8804    4908   -9556  -1181  -1160    -14  Waving  2025-03-29 16:29:51     69
      9   -9278    5480   -8820   -880   -861    163  Waving  2025-03-29 16:29:51     70
      9  -10492    6718   -8652   -386   -323    283  Waving  2025-03-29 16:29:51     71
      9  -11066    6994   -9124    -75     31    219  Waving  2025-03-29 16:29:51     72
      9  -11154    6690   -9782    311    473     39  Waving  2025-03-29 16:29:51     73
      9  -10804    6236  -10240    527    734    -50  Waving  2025-03-29 16:29:51     74
      9   -9960    5404  -11030    832   1107    -45  Waving  2025-03-29 16:29:51     75
