user-id  acc-X   acc-Y   acc-Z  ang-X  ang-Y  ang-Z  label    timestamp            count
      9   2868  -32768    4592    -35   1420  -2280  Skipping  2025-03-29 16:57:01      1
      9   5356  -32768   10312   -393   1975  -1689  Skipping  2025-03-29 16:57:01      2
      9  13702  -32768   12246   -260   2219   -974  Skipping  2025-03-29 16:57:01      3
      9  19048  -32768    9570   -198   2060   -520  Skipping  2025-03-29 16:57:01      4
      9  19298  -32768    5456   -416   1729    134  Skipping  2025-03-29 16:57:01      5
      9  15854  -32768    3088   -644   1485    675  Skipping  2025-03-29 16:57:01      6
      9  10604  -24098      94   -537   1099   1632  Skipping  2025-03-29 16:57:01      7
      9   7850  -16058   -2790   -354    851   2058  Skipping  2025-03-29 16:57:01      8
      9   4200   -8018   -6928   -539    456   1892  Skipping  2025-03-29 16:57:01      9
      9   2212   -5370   -7880   -687     55   1423  Skipping  2025-03-29 16:57:01     10
      9   2152   -1208   -6292   -511   -650    679  Skipping  2025-03-29 16:57:01     11
      9   4268    1940   -4530   -352  -1078    352  Skipping  2025-03-29 16:57:01     12
      9   5356    1276    -442   -151  -1383    161  Skipping  2025-03-29 16:57:01     13
      9   4468     -32    2422    176  -1340    384  Skipping  2025-03-29 16:57:01     14
      9   1226    2510    2200    753  -1139    871  Skipping  2025-03-29 16:57:01     15
      9   2150    4404    1014    791  -1404    708  Skipping  2025-03-29 16:57:01     16
      9   1976     734    1420    691  -1735    128  Skipping  2025-03-29 16:57:01     17
      9    542   -2664     724    650  -1679   -191  Skipping  2025-03-29 16:57:01     18
      9  -2120  -10134    1380    279  -1132   -822  Skipping  2025-03-29 16:57:01     19
      9  -1220  -19382    1692   -170   -690  -1356  Skipping  2025-03-29 16:57:01     20
      9   2474  -32768    3048   -685     97  -1760  Skipping  2025-03-29 16:57:01     21
      9   1712  -32768    4894   -747    791  -1031  Skipping  2025-03-29 16:57:01     22
      9   4336  -32768   14472   -491   1500   -469  Skipping  2025-03-29 16:57:01     23
      9  10320  -32768   12176   -196   1671   -846  Skipping  2025-03-29 16:57:01     24
      9  17626  -32768   10864     11   1211   -636  Skipping  2025-03-29 16:57:01     25
      9  15874  -32768    8494   -108   1097    180  Skipping  2025-03-29 16:57:01     26
      9  11174  -23734    6426   -249   1069    929  Skipping  2025-03-29 16:57:01     27
      9   8050  -16822    3684   -163   1114    950  Skipping  2025-03-29 16:57:01     28
      9   3692  -10420   -3034    109   1095    648  Skipping  2025-03-29 16:57:01     29
      9   1164   -8386   -8466    134    855    487  Skipping  2025-03-29 16:57:01     30
      9  -1124   -6560  -12280     56    104    387  Skipping  2025-03-29 16:57:01     31
      9  -1310   -5240  -10398    188   -442    351  Skipping  2025-03-29 16:57:01     32
      9   -306   -1444   -5250    563  -1088    361  Skipping  2025-03-29 16:57:01     33
      9   2792     448   -1432    675  -1501    315  Skipping  2025-03-29 16:57:01     34
      9   4348    -668    3796    824  -1662    342  Skipping  2025-03-29 16:57:01     35
      9   3602    -382    4718    980  -1418    558  Skipping  2025-03-29 16:57:01     36
      9   1450    2930     330    881  -1221    629  Skipping  2025-03-29 16:57:01     37
      9   1892    1762      64    545  -1412    239  Skipping  2025-03-29 16:57:01     38
      9   2000   -3692     210     53  -1531   -418  Skipping  2025-03-29 16:57:01     39
      9    968   -8318     144   -240  -1343   -704  Skipping  2025-03-29 16:57:01     40
      9   1776  -19924    2264   -811   -635  -1180  Skipping  2025-03-29 16:57:01     41
